"GeneID" "Cluster"
"1" "LSR1" "cluster2"
"2" "SCR1" "cluster2"
"3" "YBL002W" "cluster1"
"4" "YBL003C" "cluster1"
"5" "YBL049W" "cluster2"
"6" "YBL075C" "cluster3"
"7" "YBR009C" "cluster1"
"8" "YBR010W" "cluster1"
"9" "YBR088C" "cluster1"
"10" "YBR117C" "cluster2"
"11" "YCL026C-A" "cluster3"
"12" "YCL048W-A" "cluster2"
"13" "YDL113C" "cluster1"
"14" "YDL154W" "cluster1"
"15" "YDL204W" "cluster2"
"16" "YDL218W" "cluster3"
"17" "YDL222C" "cluster2"
"18" "YDL223C" "cluster2"
"19" "YDL236W" "cluster1"
"20" "YDR040C" "cluster3"
"21" "YDR070C" "cluster2"
"22" "YDR077W" "cluster3"
"23" "YDR119W-A" "cluster2"
"24" "YDR133C" "cluster2"
"25" "YDR146C" "cluster1"
"26" "YDR224C" "cluster1"
"27" "YDR225W" "cluster1"
"28" "YDR336W" "cluster1"
"29" "YDR539W" "cluster1"
"30" "YER053C-A" "cluster2"
"31" "YER062C" "cluster1"
"32" "YER073W" "cluster1"
"33" "YER130C" "cluster1"
"34" "YFL014W" "cluster2"
"35" "YFR017C" "cluster2"
"36" "YFR039C" "cluster1"
"37" "YFR055W" "cluster1"
"38" "YGL089C" "cluster1"
"39" "YGL196W" "cluster1"
"40" "YGL205W" "cluster3"
"41" "YGR088W" "cluster2"
"42" "YGR108W" "cluster1"
"43" "YGR144W" "cluster3"
"44" "YGR225W" "cluster2"
"45" "YGR250C" "cluster3"
"46" "YGR282C" "cluster1"
"47" "YHL024W" "cluster3"
"48" "YHR033W" "cluster3"
"49" "YHR094C" "cluster1"
"50" "YHR096C" "cluster2"
"51" "YHR139C" "cluster2"
"52" "YIL024C" "cluster3"
"53" "YIL066C" "cluster3"
"54" "YIL101C" "cluster2"
"55" "YIL136W" "cluster2"
"56" "YIL160C" "cluster3"
"57" "YIR019C" "cluster3"
"58" "YJL038C" "cluster3"
"59" "YJL048C" "cluster3"
"60" "YJL079C" "cluster3"
"61" "YJL094C" "cluster1"
"62" "YJL116C" "cluster3"
"63" "YJL133C-A" "cluster3"
"64" "YJR004C" "cluster3"
"65" "YJR092W" "cluster1"
"66" "YJR137C" "cluster1"
"67" "YKL001C" "cluster1"
"68" "YKL043W" "cluster1"
"69" "YKL093W" "cluster3"
"70" "YKL163W" "cluster2"
"71" "YKR058W" "cluster3"
"72" "YKR071C" "cluster1"
"73" "YLL055W" "cluster3"
"74" "YLR108C" "cluster3"
"75" "YLR134W" "cluster1"
"76" "YLR142W" "cluster3"
"77" "YLR168C" "cluster1"
"78" "YLR231C" "cluster1"
"79" "YLR328W" "cluster1"
"80" "YLR387C" "cluster1"
"81" "YML052W" "cluster1"
"82" "YML100W" "cluster2"
"83" "YML128C" "cluster2"
"84" "YML130C" "cluster1"
"85" "YMR006C" "cluster1"
"86" "YMR107W" "cluster2"
"87" "YMR130W" "cluster1"
"88" "YMR169C" "cluster2"
"89" "YMR174C" "cluster2"
"90" "YMR175W" "cluster2"
"91" "YNL036W" "cluster3"
"92" "YNL289W" "cluster1"
"93" "YNL300W" "cluster1"
"94" "YNL309W" "cluster1"
"95" "YNR048W" "cluster1"
"96" "YNR069C" "cluster3"
"97" "YOL007C" "cluster1"
"98" "YOL052C-A" "cluster2"
"99" "YOL084W" "cluster2"
"100" "YOL154W" "cluster3"
"101" "YOR161C" "cluster3"
"102" "YOR173W" "cluster2"
"103" "YOR247W" "cluster1"
"104" "YOR306C" "cluster1"
"105" "YOR348C" "cluster2"
"106" "YOR382W" "cluster3"
"107" "YPL127C" "cluster1"
"108" "YPL147W" "cluster3"
"109" "YPL153C" "cluster1"
"110" "YPL186C" "cluster2"
"111" "YPL221W" "cluster1"
"112" "YPL223C" "cluster2"
"113" "YPR149W" "cluster3"
"114" "YPR160W" "cluster2"
"115" "snR128" "cluster2"
"116" "snR17a" "cluster2"
"117" "snR17b" "cluster2"
"118" "snR19" "cluster2"
"119" "snR30" "cluster2"
"120" "snR4" "cluster3"
"121" "snR42" "cluster2"
"122" "snR43" "cluster3"
"123" "snR83" "cluster3"
"124" "snR86" "cluster3"
"HRA1" "HRA1" "insignificant"
"ICR1" "ICR1" "insignificant"
"PWR1" "PWR1" "insignificant"
"RDN5-1" "RDN5-1" "insignificant"
"RNA170" "RNA170" "insignificant"
"RPR1" "RPR1" "insignificant"
"RUF20" "RUF20" "insignificant"
"RUF21" "RUF21" "insignificant"
"RUF22" "RUF22" "insignificant"
"RUF23" "RUF23" "insignificant"
"RUF5-2" "RUF5-2" "insignificant"
"SRG1" "SRG1" "insignificant"
"YAL001C" "YAL001C" "insignificant"
"YAL002W" "YAL002W" "insignificant"
"YAL003W" "YAL003W" "insignificant"
"YAL004W" "YAL004W" "insignificant"
"YAL005C" "YAL005C" "insignificant"
"YAL007C" "YAL007C" "insignificant"
"YAL008W" "YAL008W" "insignificant"
"YAL009W" "YAL009W" "insignificant"
"YAL010C" "YAL010C" "insignificant"
"YAL011W" "YAL011W" "insignificant"
"YAL012W" "YAL012W" "insignificant"
"YAL013W" "YAL013W" "insignificant"
"YAL014C" "YAL014C" "insignificant"
"YAL015C" "YAL015C" "insignificant"
"YAL016C-A" "YAL016C-A" "insignificant"
"YAL016W" "YAL016W" "insignificant"
"YAL017W" "YAL017W" "insignificant"
"YAL018C" "YAL018C" "insignificant"
"YAL019W" "YAL019W" "insignificant"
"YAL019W-A" "YAL019W-A" "insignificant"
"YAL020C" "YAL020C" "insignificant"
"YAL021C" "YAL021C" "insignificant"
"YAL022C" "YAL022C" "insignificant"
"YAL023C" "YAL023C" "insignificant"
"YAL024C" "YAL024C" "insignificant"
"YAL025C" "YAL025C" "insignificant"
"YAL026C" "YAL026C" "insignificant"
"YAL026C-A" "YAL026C-A" "insignificant"
"YAL027W" "YAL027W" "insignificant"
"YAL028W" "YAL028W" "insignificant"
"YAL029C" "YAL029C" "insignificant"
"YAL030W" "YAL030W" "insignificant"
"YAL031C" "YAL031C" "insignificant"
"YAL031W-A" "YAL031W-A" "insignificant"
"YAL032C" "YAL032C" "insignificant"
"YAL033W" "YAL033W" "insignificant"
"YAL034C" "YAL034C" "insignificant"
"YAL034C-B" "YAL034C-B" "insignificant"
"YAL034W-A" "YAL034W-A" "insignificant"
"YAL035W" "YAL035W" "insignificant"
"YAL036C" "YAL036C" "insignificant"
"YAL037C-A" "YAL037C-A" "insignificant"
"YAL037C-B" "YAL037C-B" "insignificant"
"YAL037W" "YAL037W" "insignificant"
"YAL038W" "YAL038W" "insignificant"
"YAL039C" "YAL039C" "insignificant"
"YAL040C" "YAL040C" "insignificant"
"YAL041W" "YAL041W" "insignificant"
"YAL042C-A" "YAL042C-A" "insignificant"
"YAL042W" "YAL042W" "insignificant"
"YAL043C" "YAL043C" "insignificant"
"YAL044C" "YAL044C" "insignificant"
"YAL044W-A" "YAL044W-A" "insignificant"
"YAL045C" "YAL045C" "insignificant"
"YAL046C" "YAL046C" "insignificant"
"YAL047C" "YAL047C" "insignificant"
"YAL047W-A" "YAL047W-A" "insignificant"
"YAL048C" "YAL048C" "insignificant"
"YAL049C" "YAL049C" "insignificant"
"YAL051W" "YAL051W" "insignificant"
"YAL053W" "YAL053W" "insignificant"
"YAL054C" "YAL054C" "insignificant"
"YAL055W" "YAL055W" "insignificant"
"YAL056C-A" "YAL056C-A" "insignificant"
"YAL056W" "YAL056W" "insignificant"
"YAL058W" "YAL058W" "insignificant"
"YAL059C-A" "YAL059C-A" "insignificant"
"YAL059W" "YAL059W" "insignificant"
"YAL060W" "YAL060W" "insignificant"
"YAL061W" "YAL061W" "insignificant"
"YAL062W" "YAL062W" "insignificant"
"YAL063C" "YAL063C" "insignificant"
