"GeneID" "Cluster"
"1" "PWR1" "cluster11"
"2" "RUF23" "cluster12"
"3" "SRG1" "cluster5"
"4" "YAL005C" "cluster6"
"5" "YAL008W" "cluster2"
"6" "YAL011W" "cluster1"
"7" "YAL016C-A" "cluster9"
"8" "YAL016W" "cluster4"
"9" "YAL025C" "cluster3"
"10" "YAL028W" "cluster2"
"11" "YAL033W" "cluster1"
"12" "YAL034C" "cluster2"
"13" "YAL040C" "cluster7"
"14" "YAL042W" "cluster1"
"15" "YAL054C" "cluster2"
"16" "YAL055W" "cluster2"
"17" "YAL058W" "cluster7"
"18" "YAL059W" "cluster3"
"19" "YAL061W" "cluster6"
"20" "YAL062W" "cluster6"
"21" "YAR007C" "cluster1"
"22" "YAR014C" "cluster1"
"23" "YAR020C" "cluster6"
"24" "YAR042W" "cluster5"
"25" "YAR050W" "cluster2"
"26" "YAR071W" "cluster11"
"27" "YBL002W" "cluster7"
"28" "YBL003C" "cluster7"
"29" "YBL004W" "cluster3"
"30" "YBL005W-B" "cluster9"
"31" "YBL006C" "cluster1"
"32" "YBL007C" "cluster4"
"33" "YBL008W" "cluster1"
"34" "YBL015W" "cluster6"
"35" "YBL016W" "cluster7"
"36" "YBL019W" "cluster4"
"37" "YBL024W" "cluster3"
"38" "YBL027W" "cluster8"
"39" "YBL029C-A" "cluster2"
"40" "YBL032W" "cluster1"
"41" "YBL035C" "cluster1"
"42" "YBL042C" "cluster7"
"43" "YBL043W" "cluster10"
"44" "YBL044W" "cluster9"
"45" "YBL046W" "cluster1"
"46" "YBL047C" "cluster5"
"47" "YBL049W" "cluster6"
"48" "YBL050W" "cluster4"
"49" "YBL051C" "cluster1"
"50" "YBL052C" "cluster1"
"51" "YBL054W" "cluster3"
"52" "YBL055C" "cluster1"
"53" "YBL058W" "cluster4"
"54" "YBL068W" "cluster3"
"55" "YBL072C" "cluster8"
"56" "YBL075C" "cluster2"
"57" "YBL078C" "cluster6"
"58" "YBL085W" "cluster1"
"59" "YBL086C" "cluster2"
"60" "YBL087C" "cluster8"
"61" "YBL090W" "cluster4"
"62" "YBL092W" "cluster8"
"63" "YBL095W" "cluster2"
"64" "YBL096C" "cluster9"
"65" "YBL097W" "cluster1"
"66" "YBL098W" "cluster5"
"67" "YBL103C" "cluster1"
"68" "YBL105C" "cluster1"
"69" "YBL113C" "cluster5"
"70" "YBR003W" "cluster4"
"71" "YBR006W" "cluster2"
"72" "YBR007C" "cluster1"
"73" "YBR009C" "cluster7"
"74" "YBR010W" "cluster7"
"75" "YBR015C" "cluster1"
"76" "YBR016W" "cluster5"
"77" "YBR017C" "cluster1"
"78" "YBR018C" "cluster6"
"79" "YBR019C" "cluster2"
"80" "YBR021W" "cluster7"
"81" "YBR022W" "cluster1"
"82" "YBR029C" "cluster1"
"83" "YBR031W" "cluster8"
"84" "YBR036C" "cluster4"
"85" "YBR038W" "cluster7"
"86" "YBR043C" "cluster1"
"87" "YBR049C" "cluster1"
"88" "YBR052C" "cluster2"
"89" "YBR053C" "cluster2"
"90" "YBR054W" "cluster10"
"91" "YBR056W" "cluster2"
"92" "YBR056W-A" "cluster9"
"93" "YBR061C" "cluster3"
"94" "YBR066C" "cluster5"
"95" "YBR067C" "cluster10"
"96" "YBR069C" "cluster7"
"97" "YBR070C" "cluster1"
"98" "YBR072W" "cluster10"
"99" "YBR074W" "cluster1"
"100" "YBR076W" "cluster12"
"101" "YBR077C" "cluster2"
"102" "YBR078W" "cluster7"
"103" "YBR080C" "cluster1"
"104" "YBR081C" "cluster1"
"105" "YBR082C" "cluster1"
"106" "YBR084C-A" "cluster8"
"107" "YBR085C-A" "cluster6"
"108" "YBR087W" "cluster3"
"109" "YBR088C" "cluster7"
"110" "YBR091C" "cluster1"
"111" "YBR093C" "cluster11"
"112" "YBR094W" "cluster1"
"113" "YBR095C" "cluster1"
"114" "YBR097W" "cluster1"
"115" "YBR099C" "cluster11"
"116" "YBR105C" "cluster5"
"117" "YBR106W" "cluster3"
"118" "YBR107C" "cluster5"
"119" "YBR115C" "cluster7"
"120" "YBR117C" "cluster6"
"121" "YBR119W" "cluster4"
"122" "YBR121C" "cluster3"
"123" "YBR123C" "cluster1"
"124" "YBR125C" "cluster1"
"125" "YBR131W" "cluster1"
"126" "YBR133C" "cluster1"
"127" "YBR136W" "cluster1"
"128" "YBR139W" "cluster2"
"129" "YBR140C" "cluster1"
"130" "YBR143C" "cluster3"
"131" "YBR148W" "cluster2"
"132" "YBR149W" "cluster2"
"133" "YBR154C" "cluster3"
"134" "YBR158W" "cluster1"
"135" "YBR159W" "cluster1"
"136" "YBR160W" "cluster1"
"137" "YBR163W" "cluster1"
"138" "YBR164C" "cluster3"
