"GeneID" "Cluster"
"1" "YAL005C" "cluster4"
"2" "YAL015C" "cluster2"
"3" "YAL016C-A" "cluster12"
"4" "YAL016W" "cluster2"
"5" "YAL017W" "cluster6"
"6" "YAL038W" "cluster10"
"7" "YAL040C" "cluster7"
"8" "YAL042W" "cluster8"
"9" "YAL058W" "cluster7"
"10" "YAR003W" "cluster1"
"11" "YAR014C" "cluster1"
"12" "YAR020C" "cluster4"
"13" "YAR050W" "cluster4"
"14" "YAR068W" "cluster10"
"15" "YBL002W" "cluster7"
"16" "YBL003C" "cluster3"
"17" "YBL004W" "cluster5"
"18" "YBL016W" "cluster7"
"19" "YBL019W" "cluster2"
"20" "YBL022C" "cluster2"
"21" "YBL023C" "cluster1"
"22" "YBL024W" "cluster5"
"23" "YBL027W" "cluster3"
"24" "YBL028C" "cluster5"
"25" "YBL035C" "cluster1"
"26" "YBL039C" "cluster3"
"27" "YBL042C" "cluster10"
"28" "YBL046W" "cluster1"
"29" "YBL049W" "cluster4"
"30" "YBL055C" "cluster1"
"31" "YBL058W" "cluster2"
"32" "YBL067C" "cluster1"
"33" "YBL068W" "cluster5"
"34" "YBL072C" "cluster3"
"35" "YBL086C" "cluster6"
"36" "YBL087C" "cluster3"
"37" "YBL092W" "cluster3"
"38" "YBL098W" "cluster9"
"39" "YBL101C" "cluster6"
"40" "YBR009C" "cluster7"
"41" "YBR010W" "cluster7"
"42" "YBR015C" "cluster1"
"43" "YBR019C" "cluster6"
"44" "YBR024W" "cluster6"
"45" "YBR031W" "cluster3"
"46" "YBR038W" "cluster8"
"47" "YBR043C" "cluster2"
"48" "YBR046C" "cluster4"
"49" "YBR048W" "cluster3"
"50" "YBR052C" "cluster6"
"51" "YBR069C" "cluster7"
"52" "YBR070C" "cluster2"
"53" "YBR076W" "cluster4"
"54" "YBR077C" "cluster6"
"55" "YBR081C" "cluster1"
"56" "YBR083W" "cluster2"
"57" "YBR084C-A" "cluster3"
"58" "YBR086C" "cluster2"
"59" "YBR107C" "cluster7"
"60" "YBR121C" "cluster5"
"61" "YBR133C" "cluster1"
"62" "YBR135W" "cluster1"
"63" "YBR140C" "cluster2"
"64" "YBR153W" "cluster1"
"65" "YBR162W-A" "cluster8"
"66" "YBR173C" "cluster2"
"67" "YBR176W" "cluster1"
"68" "YBR179C" "cluster2"
"69" "YBR180W" "cluster9"
"70" "YBR181C" "cluster3"
"71" "YBR183W" "cluster4"
"72" "YBR186W" "cluster2"
"73" "YBR189W" "cluster3"
"74" "YBR191W" "cluster3"
"75" "YBR205W" "cluster8"
"76" "YBR229C" "cluster2"
"77" "YBR230C" "cluster4"
"78" "YBR237W" "cluster2"
"79" "YBR241C" "cluster4"
"80" "YBR243C" "cluster1"
"81" "YBR275C" "cluster1"
"82" "YBR276C" "cluster1"
"83" "YBR284W" "cluster4"
"84" "YBR286W" "cluster6"
"85" "YBR294W" "cluster9"
"86" "YBR301W" "cluster12"
"87" "YCL016C" "cluster1"
"88" "YCL025C" "cluster9"
"89" "YCL033C" "cluster6"
"90" "YCL034W" "cluster6"
"91" "YCL035C" "cluster6"
"92" "YCL040W" "cluster11"
"93" "YCL048W-A" "cluster11"
"94" "YCL049C" "cluster6"
"95" "YCL061C" "cluster1"
"96" "YCR009C" "cluster2"
"97" "YCR010C" "cluster11"
"98" "YCR020C" "cluster9"
"99" "YCR024C-A" "cluster7"
"100" "YCR031C" "cluster3"
"101" "YCR034W" "cluster3"
"102" "YCR048W" "cluster10"
"103" "YCR065W" "cluster7"
"104" "YCR067C" "cluster1"
"105" "YCR073W-A" "cluster6"
"106" "YCR091W" "cluster4"
"107" "YCR102C" "cluster9"
"108" "YCR106W" "cluster7"
"109" "YCR107W" "cluster7"
"110" "YDL007W" "cluster2"
"111" "YDL018C" "cluster6"
"112" "YDL020C" "cluster6"
"113" "YDL024C" "cluster4"
"114" "YDL036C" "cluster5"
"115" "YDL055C" "cluster7"
"116" "YDL061C" "cluster3"
"117" "YDL075W" "cluster3"
"118" "YDL078C" "cluster6"
"119" "YDL081C" "cluster3"
"120" "YDL082W" "cluster3"
"121" "YDL083C" "cluster3"
"122" "YDL085C-A" "cluster7"
"123" "YDL093W" "cluster7"
"124" "YDL095W" "cluster8"
"125" "YDL097C" "cluster2"
"126" "YDL104C" "cluster2"
"127" "YDL114W" "cluster12"
"128" "YDL116W" "cluster1"
"129" "YDL128W" "cluster2"
"130" "YDL130W" "cluster3"
"131" "YDL132W" "cluster2"
"132" "YDL136W" "cluster3"
"133" "YDL138W" "cluster2"
"134" "YDL140C" "cluster1"
"135" "YDL143W" "cluster5"
"136" "YDL185W" "cluster8"
"137" "YDL190C" "cluster2"
"138" "YDL191W" "cluster3"
"139" "YDL192W" "cluster5"
"140" "YDL198C" "cluster8"
"141" "YDL204W" "cluster11"
"142" "YDL207W" "cluster1"
"143" "YDL213C" "cluster5"
"144" "YDL214C" "cluster4"
"145" "YDL215C" "cluster6"
"146" "YDL223C" "cluster4"
"147" "YDL226C" "cluster8"
"148" "YDL227C" "cluster10"
"149" "YDL229W" "cluster10"
"150" "YDL232W" "cluster7"
"151" "YDL233W" "cluster6"
"152" "YDL237W" "cluster2"
"153" "YDL244W" "cluster4"
"154" "YDL248W" "cluster4"
"155" "YDR007W" "cluster9"
"156" "YDR012W" "cluster3"
"157" "YDR017C" "cluster1"
"158" "YDR020C" "cluster7"
"159" "YDR025W" "cluster3"
"160" "YDR033W" "cluster10"
"161" "YDR034W-B" "cluster11"
"162" "YDR037W" "cluster5"
"163" "YDR040C" "cluster4"
"164" "YDR042C" "cluster9"
"165" "YDR060W" "cluster5"
"166" "YDR064W" "cluster3"
"167" "YDR072C" "cluster1"
"168" "YDR084C" "cluster8"
"169" "YDR091C" "cluster5"
"170" "YDR093W" "cluster8"
"171" "YDR097C" "cluster1"
"172" "YDR108W" "cluster1"
"173" "YDR119W" "cluster5"
"174" "YDR125C" "cluster6"
"175" "YDR126W" "cluster2"
"176" "YDR127W" "cluster8"
"177" "YDR132C" "cluster2"
"178" "YDR133C" "cluster12"
"179" "YDR148C" "cluster6"
"180" "YDR170C" "cluster8"
"181" "YDR170W-A" "cluster9"
"182" "YDR171W" "cluster11"
"183" "YDR172W" "cluster5"
"184" "YDR173C" "cluster6"
"185" "YDR174W" "cluster1"
"186" "YDR185C" "cluster2"
"187" "YDR212W" "cluster5"
"188" "YDR217C" "cluster1"
"189" "YDR218C" "cluster4"
"190" "YDR224C" "cluster7"
"191" "YDR225W" "cluster7"
"192" "YDR228C" "cluster1"
"193" "YDR233C" "cluster8"
"194" "YDR242W" "cluster2"
"195" "YDR246W" "cluster6"
"196" "YDR248C" "cluster6"
"197" "YDR256C" "cluster9"
"198" "YDR261C" "cluster1"
"199" "YDR264C" "cluster1"
"200" "YDR266C" "cluster1"
"201" "YDR273W" "cluster9"
"202" "YDR276C" "cluster6"
"203" "YDR281C" "cluster10"
"204" "YDR300C" "cluster5"
"205" "YDR309C" "cluster1"
"206" "YDR321W" "cluster3"
"207" "YDR322C-A" "cluster6"
"208" "YDR322W" "cluster2"
"209" "YDR329C" "cluster6"
"210" "YDR349C" "cluster1"
"211" "YDR353W" "cluster8"
"212" "YDR364C" "cluster1"
"213" "YDR380W" "cluster4"
"214" "YDR382W" "cluster3"
"215" "YDR384C" "cluster10"
"216" "YDR385W" "cluster3"
"217" "YDR394W" "cluster2"
"218" "YDR418W" "cluster3"
"219" "YDR419W" "cluster1"
"220" "YDR427W" "cluster2"
"221" "YDR428C" "cluster8"
"222" "YDR432W" "cluster10"
"223" "YDR444W" "cluster1"
"224" "YDR447C" "cluster3"
"225" "YDR448W" "cluster1"
"226" "YDR450W" "cluster3"
"227" "YDR451C" "cluster1"
"228" "YDR453C" "cluster4"
"229" "YDR457W" "cluster2"
"230" "YDR458C" "cluster1"
"231" "YDR463W" "cluster2"
"232" "YDR468C" "cluster2"
"233" "YDR471W" "cluster3"
"234" "YDR472W" "cluster1"
"235" "YDR473C" "cluster2"
"236" "YDR488C" "cluster7"
"237" "YDR489W" "cluster1"
"238" "YDR496C" "cluster5"
"239" "YDR498C" "cluster2"
"240" "YDR499W" "cluster1"
"241" "YDR501W" "cluster2"
"242" "YDR502C" "cluster10"
"243" "YDR507C" "cluster1"
"244" "YDR516C" "cluster4"
"245" "YDR519W" "cluster8"
"246" "YDR524C" "cluster1"
"247" "YDR531W" "cluster1"
"248" "YDR539W" "cluster2"
"249" "YDR542W" "cluster12"
"250" "YEL009C" "cluster1"
"251" "YEL011W" "cluster11"
"252" "YEL017C-A" "cluster7"
"253" "YEL020W-A" "cluster10"
"254" "YEL021W" "cluster10"
"255" "YEL023C" "cluster2"
"256" "YEL032W" "cluster1"
"257" "YEL036C" "cluster5"
"258" "YEL038W" "cluster6"
"259" "YEL039C" "cluster11"
"260" "YEL053W-A" "cluster12"
"261" "YEL054C" "cluster3"
"262" "YEL055C" "cluster5"
"263" "YEL056W" "cluster2"
"264" "YEL059C-A" "cluster9"
"265" "YEL069C" "cluster4"
"266" "YEL070W" "cluster11"
"267" "YEL074W" "cluster12"
"268" "YER007C-A" "cluster5"
"269" "YER011W" "cluster10"
"270" "YER021W" "cluster2"
"271" "YER023W" "cluster8"
"272" "YER024W" "cluster4"
"273" "YER032W" "cluster1"
"274" "YER049W" "cluster5"
"275" "YER054C" "cluster11"
"276" "YER056C" "cluster7"
"277" "YER056C-A" "cluster3"
"278" "YER059W" "cluster2"
"279" "YER060W" "cluster7"
"280" "YER061C" "cluster2"
"281" "YER064C" "cluster1"
"282" "YER065C" "cluster4"
"283" "YER067W" "cluster10"
"284" "YER070W" "cluster7"
"285" "YER071C" "cluster2"
"286" "YER072W" "cluster7"
"287" "YER073W" "cluster7"
