"GeneID" "Cluster"
"1" "PWR1" "cluster6"
"2" "RUF23" "cluster13"
"3" "SRG1" "cluster6"
"4" "YAL005C" "cluster5"
"5" "YAL008W" "cluster4"
"6" "YAL012W" "cluster10"
"7" "YAL016C-A" "cluster12"
"8" "YAL016W" "cluster2"
"9" "YAL025C" "cluster11"
"10" "YAL028W" "cluster5"
"11" "YAL033W" "cluster3"
"12" "YAL034C" "cluster4"
"13" "YAL040C" "cluster6"
"14" "YAL042W" "cluster1"
"15" "YAL043C" "cluster1"
"16" "YAL047C" "cluster1"
"17" "YAL054C" "cluster5"
"18" "YAL058W" "cluster3"
"19" "YAL059W" "cluster11"
"20" "YAL061W" "cluster8"
"21" "YAR007C" "cluster2"
"22" "YAR014C" "cluster1"
"23" "YAR050W" "cluster5"
"24" "YAR071W" "cluster13"
"25" "YBL002W" "cluster10"
"26" "YBL003C" "cluster10"
"27" "YBL004W" "cluster11"
"28" "YBL005W-B" "cluster13"
"29" "YBL006C" "cluster3"
"30" "YBL007C" "cluster2"
"31" "YBL015W" "cluster5"
"32" "YBL016W" "cluster3"
"33" "YBL019W" "cluster2"
"34" "YBL024W" "cluster9"
"35" "YBL027W" "cluster7"
"36" "YBL028C" "cluster11"
"37" "YBL029C-A" "cluster4"
"38" "YBL032W" "cluster3"
"39" "YBL035C" "cluster1"
"40" "YBL036C" "cluster1"
"41" "YBL042C" "cluster11"
"42" "YBL044W" "cluster12"
"43" "YBL046W" "cluster1"
"44" "YBL047C" "cluster2"
"45" "YBL049W" "cluster8"
"46" "YBL050W" "cluster2"
"47" "YBL051C" "cluster1"
"48" "YBL052C" "cluster3"
"49" "YBL054W" "cluster11"
"50" "YBL055C" "cluster1"
"51" "YBL058W" "cluster2"
"52" "YBL068W" "cluster9"
"53" "YBL070C" "cluster12"
"54" "YBL072C" "cluster7"
"55" "YBL075C" "cluster5"
"56" "YBL085W" "cluster1"
"57" "YBL086C" "cluster4"
"58" "YBL090W" "cluster2"
"59" "YBL092W" "cluster7"
"60" "YBL094C" "cluster12"
"61" "YBL096C" "cluster12"
"62" "YBL097W" "cluster3"
"63" "YBL098W" "cluster6"
"64" "YBL104C" "cluster1"
"65" "YBL105C" "cluster2"
"66" "YBL113C" "cluster6"
"67" "YBR007C" "cluster1"
"68" "YBR009C" "cluster10"
"69" "YBR010W" "cluster10"
"70" "YBR015C" "cluster1"
"71" "YBR016W" "cluster6"
"72" "YBR017C" "cluster1"
"73" "YBR018C" "cluster5"
"74" "YBR019C" "cluster5"
"75" "YBR021W" "cluster11"
"76" "YBR022W" "cluster2"
"77" "YBR024W" "cluster4"
"78" "YBR029C" "cluster3"
"79" "YBR036C" "cluster2"
"80" "YBR038W" "cluster10"
"81" "YBR043C" "cluster2"
"82" "YBR044C" "cluster2"
"83" "YBR049C" "cluster1"
"84" "YBR051W" "cluster12"
"85" "YBR052C" "cluster4"
"86" "YBR053C" "cluster4"
"87" "YBR054W" "cluster8"
"88" "YBR056W" "cluster4"
"89" "YBR056W-A" "cluster12"
"90" "YBR061C" "cluster9"
"91" "YBR066C" "cluster6"
"92" "YBR067C" "cluster8"
"93" "YBR069C" "cluster11"
"94" "YBR070C" "cluster2"
"95" "YBR072W" "cluster8"
"96" "YBR077C" "cluster4"
"97" "YBR078W" "cluster10"
"98" "YBR080C" "cluster2"
"99" "YBR081C" "cluster1"
"100" "YBR082C" "cluster2"
"101" "YBR084C-A" "cluster7"
"102" "YBR085C-A" "cluster8"
"103" "YBR087W" "cluster3"
"104" "YBR088C" "cluster10"
"105" "YBR091C" "cluster3"
"106" "YBR093C" "cluster13"
"107" "YBR094W" "cluster1"
"108" "YBR095C" "cluster1"
"109" "YBR096W" "cluster3"
"110" "YBR097W" "cluster2"
"111" "YBR099C" "cluster6"
"112" "YBR105C" "cluster6"
"113" "YBR106W" "cluster9"
"114" "YBR107C" "cluster6"
"115" "YBR115C" "cluster10"
"116" "YBR117C" "cluster8"
"117" "YBR119W" "cluster2"
"118" "YBR121C" "cluster9"
"119" "YBR125C" "cluster1"
"120" "YBR133C" "cluster1"
"121" "YBR139W" "cluster4"
"122" "YBR140C" "cluster2"
"123" "YBR143C" "cluster9"
"124" "YBR149W" "cluster4"
"125" "YBR158W" "cluster3"
"126" "YBR159W" "cluster1"
"127" "YBR160W" "cluster2"
"128" "YBR162W-A" "cluster3"
"129" "YBR163W" "cluster1"
"130" "YBR164C" "cluster3"
"131" "YBR169C" "cluster8"
"132" "YBR172C" "cluster1"
"133" "YBR176W" "cluster1"
"134" "YBR177C" "cluster4"
"135" "YBR181C" "cluster7"
"136" "YBR182C" "cluster6"
"137" "YBR183W" "cluster5"
"138" "YBR187W" "cluster9"
"139" "YBR189W" "cluster7"
"140" "YBR191W" "cluster7"
"141" "YBR193C" "cluster2"
"142" "YBR204C" "cluster4"
"143" "YBR205W" "cluster3"
"144" "YBR211C" "cluster2"
"145" "YBR212W" "cluster4"
"146" "YBR214W" "cluster5"
"147" "YBR215W" "cluster1"
"148" "YBR220C" "cluster3"
"149" "YBR229C" "cluster2"
"150" "YBR230C" "cluster5"
"151" "YBR235W" "cluster2"
"152" "YBR236C" "cluster1"
"153" "YBR238C" "cluster13"
"154" "YBR240C" "cluster5"
"155" "YBR241C" "cluster5"
"156" "YBR243C" "cluster3"
"157" "YBR248C" "cluster9"
"158" "YBR252W" "cluster9"
"159" "YBR260C" "cluster1"
"160" "YBR261C" "cluster9"
"161" "YBR262C" "cluster2"
"162" "YBR272C" "cluster2"
"163" "YBR275C" "cluster1"
"164" "YBR276C" "cluster1"
"165" "YBR281C" "cluster1"
"166" "YBR284W" "cluster5"
"167" "YBR285W" "cluster8"
"168" "YBR288C" "cluster1"
"169" "YBR289W" "cluster1"
"170" "YBR291C" "cluster3"
"171" "YBR300C" "cluster12"
"172" "YBR301W" "cluster12"
"173" "YCL001W" "cluster3"
"174" "YCL004W" "cluster1"
"175" "YCL005W-A" "cluster13"
"176" "YCL007C" "cluster12"
"177" "YCL031C" "cluster1"
"178" "YCL032W" "cluster2"
"179" "YCL034W" "cluster4"
"180" "YCL035C" "cluster4"
"181" "YCL036W" "cluster11"
"182" "YCL039W" "cluster4"
"183" "YCL040W" "cluster8"
"184" "YCL043C" "cluster6"
"185" "YCL044C" "cluster6"
"186" "YCL047C" "cluster2"
"187" "YCL048W-A" "cluster8"
"188" "YCL051W" "cluster2"
"189" "YCL054W" "cluster11"
"190" "YCL061C" "cluster1"
"191" "YCR002C" "cluster1"
"192" "YCR009C" "cluster2"
"193" "YCR012W" "cluster13"
"194" "YCR014C" "cluster2"
"195" "YCR017C" "cluster1"
"196" "YCR020C" "cluster6"
"197" "YCR021C" "cluster8"
"198" "YCR022C" "cluster13"
"199" "YCR024C" "cluster2"
"200" "YCR026C" "cluster2"
"201" "YCR028C" "cluster3"
"202" "YCR028C-A" "cluster3"
"203" "YCR034W" "cluster7"
"204" "YCR036W" "cluster2"
"205" "YCR046C" "cluster2"
"206" "YCR047C" "cluster11"
"207" "YCR047W-A" "cluster6"
"208" "YCR051W" "cluster9"
"209" "YCR059C" "cluster3"
"210" "YCR060W" "cluster3"
"211" "YCR072C" "cluster11"
"212" "YCR073W-A" "cluster4"
"213" "YCR076C" "cluster4"
"214" "YCR077C" "cluster1"
"215" "YCR079W" "cluster4"
"216" "YCR081W" "cluster3"
"217" "YCR082W" "cluster4"
"218" "YCR083W" "cluster4"
"219" "YCR084C" "cluster3"
"220" "YCR092C" "cluster1"
"221" "YCR102C" "cluster6"
"222" "YCR105W" "cluster5"
"223" "YCR106W" "cluster6"
"224" "YCR107W" "cluster6"
"225" "YDL003W" "cluster3"
"226" "YDL004W" "cluster4"
"227" "YDL010W" "cluster6"
"228" "YDL015C" "cluster3"
"229" "YDL018C" "cluster2"
"230" "YDL020C" "cluster4"
"231" "YDL024C" "cluster8"
"232" "YDL028C" "cluster2"
"233" "YDL031W" "cluster9"
"234" "YDL032W" "cluster12"
"235" "YDL036C" "cluster9"
"236" "YDL042C" "cluster3"
"237" "YDL046W" "cluster4"
"238" "YDL047W" "cluster1"
"239" "YDL051W" "cluster11"
"240" "YDL055C" "cluster10"
"241" "YDL057W" "cluster4"
"242" "YDL061C" "cluster7"
"243" "YDL066W" "cluster2"
"244" "YDL074C" "cluster1"
"245" "YDL075W" "cluster7"
"246" "YDL077C" "cluster2"
"247" "YDL078C" "cluster2"
"248" "YDL083C" "cluster7"
"249" "YDL085C-A" "cluster10"
"250" "YDL085W" "cluster8"
"251" "YDL089W" "cluster2"
"252" "YDL093W" "cluster3"
"253" "YDL095W" "cluster3"
"254" "YDL097C" "cluster2"
"255" "YDL099W" "cluster2"
"256" "YDL101C" "cluster1"
"257" "YDL104C" "cluster2"
"258" "YDL106C" "cluster2"
"259" "YDL108W" "cluster1"
"260" "YDL111C" "cluster1"
"261" "YDL112W" "cluster9"
"262" "YDL116W" "cluster1"
"263" "YDL122W" "cluster1"
"264" "YDL123W" "cluster5"
"265" "YDL125C" "cluster2"
"266" "YDL129W" "cluster6"
"267" "YDL131W" "cluster3"
"268" "YDL132W" "cluster2"
"269" "YDL135C" "cluster2"
"270" "YDL136W" "cluster7"
"271" "YDL138W" "cluster2"
"272" "YDL140C" "cluster3"
"273" "YDL144C" "cluster2"
"274" "YDL151C" "cluster12"
"275" "YDL157C" "cluster10"
"276" "YDL160C-A" "cluster2"
"277" "YDL161W" "cluster2"
"278" "YDL173W" "cluster6"
"279" "YDL175C" "cluster2"
"280" "YDL176W" "cluster1"
"281" "YDL177C" "cluster1"
"282" "YDL179W" "cluster3"
"283" "YDL182W" "cluster6"
"284" "YDL183C" "cluster6"
"285" "YDL185W" "cluster10"
"286" "YDL190C" "cluster2"
"287" "YDL191W" "cluster7"
"288" "YDL192W" "cluster9"
"289" "YDL195W" "cluster2"
"290" "YDL197C" "cluster4"
"291" "YDL198C" "cluster10"
"292" "YDL199C" "cluster5"
"293" "YDL200C" "cluster4"
"294" "YDL204W" "cluster8"
"295" "YDL209C" "cluster1"
"296" "YDL213C" "cluster11"
"297" "YDL214C" "cluster5"
"298" "YDL218W" "cluster5"
"299" "YDL219W" "cluster3"
"300" "YDL220C" "cluster2"
"301" "YDL222C" "cluster8"
"302" "YDL223C" "cluster8"
"303" "YDL226C" "cluster1"
"304" "YDL227C" "cluster13"
"305" "YDL229W" "cluster7"
"306" "YDL232W" "cluster10"
"307" "YDL233W" "cluster4"
"308" "YDL241W" "cluster13"
"309" "YDL248W" "cluster5"
