"GeneID" "Cluster"
"1" "YAL001C" "cluster2"
"2" "YAL002W" "cluster2"
"3" "YAL005C" "cluster5"
"4" "YAL007C" "cluster1"
"5" "YAL015C" "cluster2"
"6" "YAL016W" "cluster2"
"7" "YAL017W" "cluster5"
"8" "YAL019W" "cluster1"
"9" "YAL020C" "cluster4"
"10" "YAL023C" "cluster1"
"11" "YAL024C" "cluster1"
"12" "YAL026C" "cluster4"
"13" "YAL028W" "cluster5"
"14" "YAL029C" "cluster1"
"15" "YAL032C" "cluster2"
"16" "YAL033W" "cluster1"
"17" "YAL034W-A" "cluster1"
"18" "YAL039C" "cluster3"
"19" "YAL040C" "cluster4"
"20" "YAL041W" "cluster1"
"21" "YAL042W" "cluster1"
"22" "YAL044C" "cluster6"
"23" "YAL047C" "cluster1"
"24" "YAL049C" "cluster3"
"25" "YAL051W" "cluster2"
"26" "YAL054C" "cluster5"
"27" "YAL055W" "cluster3"
"28" "YAL056W" "cluster2"
"29" "YAL060W" "cluster5"
"30" "YAR002C-A" "cluster1"
"31" "YAR002W" "cluster1"
"32" "YAR003W" "cluster1"
"33" "YAR007C" "cluster1"
"34" "YAR008W" "cluster1"
"35" "YAR009C" "cluster9"
"36" "YAR014C" "cluster1"
"37" "YAR015W" "cluster7"
"38" "YAR018C" "cluster1"
"39" "YAR019C" "cluster3"
"40" "YAR027W" "cluster3"
"41" "YAR035W" "cluster11"
"42" "YBL002W" "cluster7"
"43" "YBL003C" "cluster7"
"44" "YBL004W" "cluster8"
"45" "YBL005W-B" "cluster9"
"46" "YBL008W" "cluster1"
"47" "YBL009W" "cluster1"
"48" "YBL014C" "cluster1"
"49" "YBL015W" "cluster5"
"50" "YBL016W" "cluster4"
"51" "YBL017C" "cluster2"
"52" "YBL020W" "cluster1"
"53" "YBL021C" "cluster2"
"54" "YBL022C" "cluster2"
"55" "YBL023C" "cluster1"
"56" "YBL024W" "cluster8"
"57" "YBL026W" "cluster1"
"58" "YBL028C" "cluster8"
"59" "YBL031W" "cluster1"
"60" "YBL032W" "cluster1"
"61" "YBL033C" "cluster3"
"62" "YBL034C" "cluster1"
"63" "YBL035C" "cluster1"
"64" "YBL039W-B" "cluster5"
"65" "YBL042C" "cluster7"
"66" "YBL046W" "cluster1"
"67" "YBL047C" "cluster3"
"68" "YBL049W" "cluster5"
"69" "YBL051C" "cluster1"
"70" "YBL052C" "cluster4"
"71" "YBL055C" "cluster1"
"72" "YBL057C" "cluster1"
"73" "YBL058W" "cluster2"
"74" "YBL063W" "cluster1"
"75" "YBL064C" "cluster5"
"76" "YBL067C" "cluster1"
"77" "YBL068W" "cluster1"
"78" "YBL074C" "cluster4"
"79" "YBL075C" "cluster5"
"80" "YBL080C" "cluster3"
"81" "YBL081W" "cluster8"
"82" "YBL082C" "cluster7"
"83" "YBL085W" "cluster1"
"84" "YBL088C" "cluster2"
"85" "YBL097W" "cluster4"
"86" "YBL101C" "cluster3"
"87" "YBL102W" "cluster2"
"88" "YBR004C" "cluster4"
"89" "YBR005W" "cluster6"
"90" "YBR009C" "cluster7"
"91" "YBR010W" "cluster7"
"92" "YBR014C" "cluster2"
"93" "YBR015C" "cluster1"
"94" "YBR016W" "cluster3"
"95" "YBR019C" "cluster5"
"96" "YBR021W" "cluster7"
"97" "YBR023C" "cluster1"
"98" "YBR024W" "cluster3"
"99" "YBR025C" "cluster8"
"100" "YBR028C" "cluster1"
"101" "YBR033W" "cluster3"
"102" "YBR034C" "cluster8"
"103" "YBR039W" "cluster3"
"104" "YBR040W" "cluster10"
"105" "YBR042C" "cluster1"
"106" "YBR044C" "cluster2"
"107" "YBR046C" "cluster5"
"108" "YBR049C" "cluster1"
"109" "YBR053C" "cluster5"
"110" "YBR054W" "cluster10"
"111" "YBR056W" "cluster5"
"112" "YBR056W-A" "cluster10"
"113" "YBR057C" "cluster2"
"114" "YBR059C" "cluster3"
"115" "YBR066C" "cluster6"
"116" "YBR067C" "cluster9"
"117" "YBR068C" "cluster6"
"118" "YBR069C" "cluster7"
"119" "YBR070C" "cluster4"
"120" "YBR071W" "cluster3"
"121" "YBR074W" "cluster1"
"122" "YBR077C" "cluster3"
"123" "YBR079C" "cluster8"
"124" "YBR082C" "cluster1"
"125" "YBR083W" "cluster4"
"126" "YBR087W" "cluster1"
"127" "YBR088C" "cluster7"
"128" "YBR089W" "cluster12"
"129" "YBR091C" "cluster1"
"130" "YBR092C" "cluster7"
"131" "YBR093C" "cluster9"
"132" "YBR095C" "cluster2"
"133" "YBR098W" "cluster4"
"134" "YBR099C" "cluster6"
"135" "YBR101C" "cluster4"
"136" "YBR106W" "cluster8"
"137" "YBR111W-A" "cluster3"
"138" "YBR112C" "cluster1"
"139" "YBR123C" "cluster1"
"140" "YBR125C" "cluster2"
"141" "YBR126W-A" "cluster9"
"142" "YBR127C" "cluster1"
"143" "YBR133C" "cluster1"
"144" "YBR135W" "cluster1"
"145" "YBR139W" "cluster5"
"146" "YBR140C" "cluster3"
"147" "YBR146W" "cluster1"
"148" "YBR147W" "cluster5"
"149" "YBR149W" "cluster5"
"150" "YBR153W" "cluster1"
"151" "YBR156C" "cluster1"
"152" "YBR158W" "cluster4"
"153" "YBR161W" "cluster2"
"154" "YBR162C" "cluster7"
"155" "YBR163W" "cluster1"
"156" "YBR170C" "cluster2"
"157" "YBR171W" "cluster1"
"158" "YBR172C" "cluster1"
"159" "YBR176W" "cluster1"
"160" "YBR177C" "cluster3"
"161" "YBR182C" "cluster6"
"162" "YBR196C" "cluster7"
"163" "YBR200W" "cluster2"
"164" "YBR201C-A" "cluster5"
"165" "YBR201W" "cluster2"
"166" "YBR202W" "cluster1"
"167" "YBR203W" "cluster5"
"168" "YBR204C" "cluster3"
"169" "YBR207W" "cluster2"
"170" "YBR208C" "cluster7"
"171" "YBR213W" "cluster7"
"172" "YBR214W" "cluster5"
"173" "YBR220C" "cluster1"
"174" "YBR223C" "cluster5"
"175" "YBR225W" "cluster3"
"176" "YBR227C" "cluster1"
"177" "YBR230C" "cluster5"
"178" "YBR233W" "cluster1"
"179" "YBR234C" "cluster2"
"180" "YBR235W" "cluster2"
"181" "YBR239C" "cluster1"
"182" "YBR240C" "cluster6"
"183" "YBR242W" "cluster1"
"184" "YBR243C" "cluster1"
"185" "YBR245C" "cluster1"
"186" "YBR246W" "cluster1"
"187" "YBR250W" "cluster6"
"188" "YBR252W" "cluster8"
"189" "YBR258C" "cluster4"
"190" "YBR259W" "cluster1"
"191" "YBR275C" "cluster1"
"192" "YBR278W" "cluster4"
"193" "YBR279W" "cluster1"
"194" "YBR281C" "cluster1"
"195" "YBR284W" "cluster5"
"196" "YBR287W" "cluster3"
"197" "YBR289W" "cluster1"
"198" "YBR293W" "cluster4"
"199" "YBR295W" "cluster6"
"200" "YBR297W" "cluster5"
"201" "YBR298C-A" "cluster12"
"202" "YCL001W" "cluster1"
"203" "YCL002C" "cluster1"
"204" "YCL004W" "cluster2"
"205" "YCL005W" "cluster1"
"206" "YCL010C" "cluster2"
"207" "YCL014W" "cluster1"
"208" "YCL016C" "cluster2"
"209" "YCL024W" "cluster1"
"210" "YCL025C" "cluster6"
"211" "YCL026C-A" "cluster9"
"212" "YCL026C-B" "cluster6"
"213" "YCL027W" "cluster7"
"214" "YCL028W" "cluster1"
"215" "YCL029C" "cluster1"
"216" "YCL030C" "cluster7"
"217" "YCL034W" "cluster3"
"218" "YCL038C" "cluster5"
"219" "YCL040W" "cluster11"
"220" "YCL043C" "cluster6"
"221" "YCL044C" "cluster3"
"222" "YCL045C" "cluster1"
"223" "YCL047C" "cluster1"
"224" "YCL048W" "cluster10"
"225" "YCL048W-A" "cluster10"
"226" "YCL049C" "cluster3"
"227" "YCL052C" "cluster3"
"228" "YCL054W" "cluster8"
