"GeneID" "Cluster"
"1" "LSR1" "cluster1"
"2" "RPR1" "cluster1"
"3" "SCR1" "cluster1"
"4" "YAL002W" "cluster2"
"5" "YAL005C" "cluster3"
"6" "YAL007C" "cluster2"
"7" "YAL008W" "cluster3"
"8" "YAL015C" "cluster2"
"9" "YAL016W" "cluster2"
"10" "YAL017W" "cluster3"
"11" "YAL019W" "cluster2"
"12" "YAL023C" "cluster2"
"13" "YAL024C" "cluster2"
"14" "YAL028W" "cluster3"
"15" "YAL029C" "cluster2"
"16" "YAL033W" "cluster4"
"17" "YAL034W-A" "cluster2"
"18" "YAL038W" "cluster5"
"19" "YAL039C" "cluster6"
"20" "YAL040C" "cluster6"
"21" "YAL042W" "cluster2"
"22" "YAL047C" "cluster2"
"23" "YAL054C" "cluster3"
"24" "YAL056W" "cluster2"
"25" "YAL060W" "cluster3"
"26" "YAL062W" "cluster3"
"27" "YAR002C-A" "cluster2"
"28" "YAR002W" "cluster2"
"29" "YAR003W" "cluster2"
"30" "YAR007C" "cluster2"
"31" "YAR008W" "cluster2"
"32" "YAR009C" "cluster5"
"33" "YAR014C" "cluster2"
"34" "YAR015W" "cluster7"
"35" "YAR018C" "cluster2"
"36" "YAR019C" "cluster6"
"37" "YAR023C" "cluster6"
"38" "YAR029W" "cluster3"
"39" "YAR035W" "cluster8"
"40" "YBL002W" "cluster7"
"41" "YBL003C" "cluster7"
"42" "YBL004W" "cluster4"
"43" "YBL005W-B" "cluster5"
"44" "YBL007C" "cluster2"
"45" "YBL008W" "cluster2"
"46" "YBL009W" "cluster2"
"47" "YBL013W" "cluster3"
"48" "YBL014C" "cluster2"
"49" "YBL015W" "cluster3"
"50" "YBL016W" "cluster6"
"51" "YBL017C" "cluster2"
"52" "YBL020W" "cluster2"
"53" "YBL021C" "cluster2"
"54" "YBL022C" "cluster2"
"55" "YBL023C" "cluster2"
"56" "YBL024W" "cluster4"
"57" "YBL026W" "cluster2"
"58" "YBL028C" "cluster4"
"59" "YBL029W" "cluster6"
"60" "YBL031W" "cluster2"
"61" "YBL032W" "cluster2"
"62" "YBL033C" "cluster6"
"63" "YBL034C" "cluster2"
"64" "YBL035C" "cluster2"
"65" "YBL040C" "cluster2"
"66" "YBL041W" "cluster2"
"67" "YBL042C" "cluster7"
"68" "YBL046W" "cluster2"
"69" "YBL047C" "cluster2"
"70" "YBL049W" "cluster8"
"71" "YBL051C" "cluster2"
"72" "YBL055C" "cluster2"
"73" "YBL057C" "cluster2"
"74" "YBL058W" "cluster2"
"75" "YBL061C" "cluster2"
"76" "YBL063W" "cluster2"
"77" "YBL064C" "cluster3"
"78" "YBL067C" "cluster2"
"79" "YBL068W" "cluster4"
"80" "YBL074C" "cluster6"
"81" "YBL076C" "cluster7"
"82" "YBL080C" "cluster6"
"83" "YBL082C" "cluster7"
"84" "YBL085W" "cluster2"
"85" "YBL088C" "cluster2"
"86" "YBL097W" "cluster2"
"87" "YBL101C" "cluster6"
"88" "YBL102W" "cluster2"
"89" "YBL105C" "cluster2"
"90" "YBR004C" "cluster6"
"91" "YBR005W" "cluster3"
"92" "YBR008C" "cluster6"
"93" "YBR009C" "cluster2"
"94" "YBR010W" "cluster2"
"95" "YBR011C" "cluster2"
"96" "YBR014C" "cluster2"
"97" "YBR015C" "cluster2"
"98" "YBR016W" "cluster6"
"99" "YBR019C" "cluster3"
"100" "YBR021W" "cluster7"
"101" "YBR023C" "cluster2"
"102" "YBR025C" "cluster4"
"103" "YBR028C" "cluster2"
"104" "YBR031W" "cluster4"
"105" "YBR033W" "cluster6"
"106" "YBR034C" "cluster4"
"107" "YBR037C" "cluster6"
"108" "YBR039W" "cluster6"
"109" "YBR040W" "cluster5"
"110" "YBR042C" "cluster2"
"111" "YBR044C" "cluster2"
"112" "YBR049C" "cluster2"
"113" "YBR052C" "cluster3"
"114" "YBR053C" "cluster3"
"115" "YBR056W" "cluster3"
"116" "YBR056W-A" "cluster1"
"117" "YBR057C" "cluster2"
"118" "YBR059C" "cluster6"
"119" "YBR060C" "cluster2"
"120" "YBR065C" "cluster6"
"121" "YBR066C" "cluster6"
"122" "YBR067C" "cluster5"
"123" "YBR068C" "cluster6"
"124" "YBR069C" "cluster7"
"125" "YBR070C" "cluster6"
"126" "YBR071W" "cluster6"
"127" "YBR073W" "cluster2"
"128" "YBR074W" "cluster2"
"129" "YBR079C" "cluster4"
"130" "YBR082C" "cluster2"
"131" "YBR083W" "cluster6"
"132" "YBR085C-A" "cluster8"
"133" "YBR087W" "cluster2"
"134" "YBR088C" "cluster7"
"135" "YBR089W" "cluster1"
"136" "YBR091C" "cluster2"
"137" "YBR092C" "cluster7"
"138" "YBR093C" "cluster5"
"139" "YBR095C" "cluster2"
"140" "YBR098W" "cluster6"
"141" "YBR103W" "cluster2"
"142" "YBR105C" "cluster3"
"143" "YBR111W-A" "cluster6"
"144" "YBR112C" "cluster2"
"145" "YBR117C" "cluster8"
"146" "YBR118W" "cluster4"
"147" "YBR122C" "cluster2"
"148" "YBR123C" "cluster2"
"149" "YBR125C" "cluster2"
"150" "YBR135W" "cluster2"
"151" "YBR140C" "cluster2"
"152" "YBR146W" "cluster2"
"153" "YBR153W" "cluster2"
"154" "YBR156C" "cluster2"
"155" "YBR158W" "cluster2"
"156" "YBR161W" "cluster2"
"157" "YBR162C" "cluster4"
"158" "YBR162W-A" "cluster2"
"159" "YBR163W" "cluster2"
"160" "YBR170C" "cluster2"
"161" "YBR171W" "cluster2"
"162" "YBR176W" "cluster2"
"163" "YBR177C" "cluster6"
"164" "YBR182C" "cluster3"
"165" "YBR184W" "cluster6"
"166" "YBR186W" "cluster6"
"167" "YBR188C" "cluster2"
"168" "YBR196C" "cluster7"
"169" "YBR200W" "cluster2"
"170" "YBR201C-A" "cluster3"
"171" "YBR201W" "cluster2"
"172" "YBR202W" "cluster2"
"173" "YBR203W" "cluster3"
"174" "YBR204C" "cluster6"
"175" "YBR207W" "cluster2"
"176" "YBR208C" "cluster3"
"177" "YBR217W" "cluster2"
"178" "YBR218C" "cluster7"
"179" "YBR220C" "cluster2"
"180" "YBR223C" "cluster6"
"181" "YBR225W" "cluster6"
"182" "YBR229C" "cluster2"
"183" "YBR230C" "cluster3"
"184" "YBR233W" "cluster2"
"185" "YBR233W-A" "cluster2"
"186" "YBR234C" "cluster2"
"187" "YBR239C" "cluster2"
"188" "YBR240C" "cluster3"
"189" "YBR242W" "cluster2"
"190" "YBR243C" "cluster2"
"191" "YBR245C" "cluster2"
"192" "YBR248C" "cluster4"
"193" "YBR249C" "cluster7"
"194" "YBR252W" "cluster4"
"195" "YBR255W" "cluster2"
"196" "YBR258C" "cluster2"
"197" "YBR259W" "cluster2"
"198" "YBR263W" "cluster2"
"199" "YBR267W" "cluster4"
"200" "YBR268W" "cluster2"
"201" "YBR270C" "cluster6"
"202" "YBR275C" "cluster2"
"203" "YBR278W" "cluster6"
"204" "YBR281C" "cluster2"
"205" "YBR284W" "cluster3"
"206" "YBR287W" "cluster3"
"207" "YBR293W" "cluster6"
"208" "YBR294W" "cluster3"
"209" "YBR295W" "cluster6"
"210" "YBR297W" "cluster3"
"211" "YCL001W" "cluster2"
"212" "YCL002C" "cluster2"
"213" "YCL004W" "cluster2"
"214" "YCL005W" "cluster2"
"215" "YCL005W-A" "cluster5"
"216" "YCL008C" "cluster6"
"217" "YCL009C" "cluster3"
"218" "YCL014W" "cluster2"
"219" "YCL016C" "cluster2"
"220" "YCL021W-A" "cluster3"
"221" "YCL024W" "cluster2"
"222" "YCL025C" "cluster3"
"223" "YCL026C-B" "cluster5"
"224" "YCL027W" "cluster3"
"225" "YCL029C" "cluster2"
"226" "YCL030C" "cluster3"
"227" "YCL033C" "cluster3"
"228" "YCL034W" "cluster6"
"229" "YCL040W" "cluster8"
"230" "YCL043C" "cluster6"
"231" "YCL044C" "cluster6"
"232" "YCL045C" "cluster2"
"233" "YCL047C" "cluster2"
"234" "YCL048W" "cluster8"
"235" "YCL049C" "cluster6"
"236" "YCL051W" "cluster6"
"237" "YCL052C" "cluster6"
"238" "YCL054W" "cluster4"
"239" "YCL055W" "cluster2"
"240" "YCL056C" "cluster2"
"241" "YCL061C" "cluster2"
"242" "YCL063W" "cluster2"
"243" "YCL064C" "cluster3"
"244" "YCL074W" "cluster1"
"245" "YCL075W" "cluster1"
"246" "YCL076W" "cluster1"
"247" "YCR005C" "cluster3"
"248" "YCR007C" "cluster6"
"249" "YCR009C" "cluster2"
"250" "YCR011C" "cluster6"
"251" "YCR019W" "cluster2"
"252" "YCR020C" "cluster6"
"253" "YCR020C-A" "cluster2"
"254" "YCR024C" "cluster2"
"255" "YCR024C-A" "cluster7"
"256" "YCR026C" "cluster2"
"257" "YCR027C" "cluster2"
"258" "YCR030C" "cluster6"
"259" "YCR034W" "cluster4"
"260" "YCR036W" "cluster2"
"261" "YCR038C" "cluster6"
"262" "YCR042C" "cluster2"
"263" "YCR044C" "cluster2"
"264" "YCR045W-A" "cluster9"
"265" "YCR048W" "cluster7"
"266" "YCR057C" "cluster4"
"267" "YCR059C" "cluster2"
"268" "YCR063W" "cluster3"
"269" "YCR065W" "cluster2"
"270" "YCR073C" "cluster2"
"271" "YCR073W-A" "cluster6"
"272" "YCR075C" "cluster6"
"273" "YCR076C" "cluster6"
"274" "YCR081W" "cluster6"
"275" "YCR084C" "cluster2"
"276" "YCR086W" "cluster2"
"277" "YCR087C-A" "cluster9"
"278" "YCR088W" "cluster6"
"279" "YCR089W" "cluster6"
"280" "YCR090C" "cluster2"
"281" "YCR092C" "cluster2"
"282" "YCR099C" "cluster3"
"283" "YCR100C" "cluster3"
"284" "YCR101C" "cluster3"
"285" "YCR102C" "cluster3"
"286" "YDL003W" "cluster2"
"287" "YDL005C" "cluster2"
"288" "YDL007W" "cluster2"
"289" "YDL008W" "cluster2"
"290" "YDL015C" "cluster2"
"291" "YDL018C" "cluster6"
"292" "YDL019C" "cluster6"
"293" "YDL020C" "cluster6"
"294" "YDL021W" "cluster8"
"295" "YDL022W" "cluster3"
"296" "YDL025C" "cluster6"
"297" "YDL028C" "cluster2"
"298" "YDL029W" "cluster2"
"299" "YDL044C" "cluster2"
"300" "YDL045C" "cluster2"
"301" "YDL049C" "cluster3"
"302" "YDL051W" "cluster4"
"303" "YDL052C" "cluster2"
"304" "YDL054C" "cluster6"
"305" "YDL055C" "cluster7"
"306" "YDL057W" "cluster6"
"307" "YDL059C" "cluster6"
"308" "YDL064W" "cluster2"
"309" "YDL065C" "cluster2"
"310" "YDL066W" "cluster6"
"311" "YDL070W" "cluster2"
