"GeneID" "Cluster"
"1" "YAL001C" "cluster2"
"2" "YAL002W" "cluster2"
"3" "YAL005C" "cluster7"
"4" "YAL007C" "cluster6"
"5" "YAL015C" "cluster2"
"6" "YAL017W" "cluster9"
"7" "YAL019W" "cluster6"
"8" "YAL020C" "cluster3"
"9" "YAL021C" "cluster3"
"10" "YAL023C" "cluster3"
"11" "YAL024C" "cluster1"
"12" "YAL025C" "cluster4"
"13" "YAL026C" "cluster3"
"14" "YAL028W" "cluster9"
"15" "YAL029C" "cluster6"
"16" "YAL034W-A" "cluster1"
"17" "YAL039C" "cluster5"
"18" "YAL040C" "cluster3"
"19" "YAL042W" "cluster1"
"20" "YAL047C" "cluster1"
"21" "YAL051W" "cluster2"
"22" "YAL053W" "cluster2"
"23" "YAL054C" "cluster7"
"24" "YAL059W" "cluster4"
"25" "YAL060W" "cluster9"
"26" "YAL061W" "cluster13"
"27" "YAR002C-A" "cluster3"
"28" "YAR002W" "cluster1"
"29" "YAR003W" "cluster1"
"30" "YAR007C" "cluster2"
"31" "YAR008W" "cluster1"
"32" "YAR009C" "cluster15"
"33" "YAR014C" "cluster1"
"34" "YAR015W" "cluster11"
"35" "YAR018C" "cluster1"
"36" "YAR019C" "cluster2"
"37" "YAR023C" "cluster5"
"38" "YAR029W" "cluster10"
"39" "YAR035W" "cluster14"
"40" "YAR050W" "cluster7"
"41" "YBL001C" "cluster5"
"42" "YBL002W" "cluster11"
"43" "YBL003C" "cluster11"
"44" "YBL004W" "cluster4"
"45" "YBL008W" "cluster1"
"46" "YBL009W" "cluster1"
"47" "YBL010C" "cluster1"
"48" "YBL013W" "cluster10"
"49" "YBL014C" "cluster6"
"50" "YBL015W" "cluster7"
"51" "YBL016W" "cluster3"
"52" "YBL017C" "cluster2"
"53" "YBL020W" "cluster1"
"54" "YBL021C" "cluster2"
"55" "YBL023C" "cluster1"
"56" "YBL024W" "cluster4"
"57" "YBL026W" "cluster6"
"58" "YBL028C" "cluster4"
"59" "YBL029W" "cluster5"
"60" "YBL031W" "cluster1"
"61" "YBL032W" "cluster3"
"62" "YBL034C" "cluster1"
"63" "YBL035C" "cluster1"
"64" "YBL036C" "cluster1"
"65" "YBL040C" "cluster1"
"66" "YBL042C" "cluster12"
"67" "YBL046W" "cluster1"
"68" "YBL049W" "cluster7"
"69" "YBL051C" "cluster1"
"70" "YBL054W" "cluster4"
"71" "YBL055C" "cluster6"
"72" "YBL058W" "cluster2"
"73" "YBL063W" "cluster1"
"74" "YBL064C" "cluster7"
"75" "YBL067C" "cluster1"
"76" "YBL068W" "cluster6"
"77" "YBL076C" "cluster4"
"78" "YBL080C" "cluster2"
"79" "YBL082C" "cluster12"
"80" "YBL085W" "cluster1"
"81" "YBL093C" "cluster1"
"82" "YBL097W" "cluster1"
"83" "YBL101C" "cluster5"
"84" "YBL102W" "cluster2"
"85" "YBL106C" "cluster2"
"86" "YBR004C" "cluster3"
"87" "YBR005W" "cluster8"
"88" "YBR006W" "cluster9"
"89" "YBR008C" "cluster2"
"90" "YBR009C" "cluster3"
"91" "YBR010W" "cluster3"
"92" "YBR014C" "cluster2"
"93" "YBR015C" "cluster1"
"94" "YBR016W" "cluster5"
"95" "YBR023C" "cluster1"
"96" "YBR025C" "cluster4"
"97" "YBR028C" "cluster6"
"98" "YBR033W" "cluster2"
"99" "YBR034C" "cluster4"
"100" "YBR037C" "cluster5"
"101" "YBR038W" "cluster3"
"102" "YBR039W" "cluster5"
"103" "YBR040W" "cluster15"
"104" "YBR041W" "cluster2"
"105" "YBR042C" "cluster6"
"106" "YBR044C" "cluster2"
"107" "YBR049C" "cluster1"
"108" "YBR052C" "cluster9"
"109" "YBR054W" "cluster13"
"110" "YBR056W" "cluster9"
"111" "YBR056W-A" "cluster15"
"112" "YBR057C" "cluster1"
"113" "YBR066C" "cluster8"
"114" "YBR067C" "cluster14"
"115" "YBR069C" "cluster3"
"116" "YBR070C" "cluster2"
"117" "YBR071W" "cluster8"
"118" "YBR073W" "cluster1"
"119" "YBR078W" "cluster4"
"120" "YBR079C" "cluster4"
"121" "YBR082C" "cluster3"
"122" "YBR083W" "cluster2"
"123" "YBR087W" "cluster6"
"124" "YBR088C" "cluster11"
"125" "YBR092C" "cluster4"
"126" "YBR093C" "cluster12"
"127" "YBR098W" "cluster2"
"128" "YBR099C" "cluster10"
"129" "YBR104W" "cluster6"
"130" "YBR111W-A" "cluster2"
"131" "YBR112C" "cluster1"
"132" "YBR117C" "cluster14"
"133" "YBR125C" "cluster1"
"134" "YBR126C" "cluster7"
"135" "YBR135W" "cluster1"
"136" "YBR142W" "cluster4"
"137" "YBR153W" "cluster1"
"138" "YBR154C" "cluster6"
"139" "YBR156C" "cluster1"
"140" "YBR158W" "cluster3"
"141" "YBR161W" "cluster2"
"142" "YBR162C" "cluster4"
"143" "YBR166C" "cluster1"
"144" "YBR170C" "cluster2"
"145" "YBR171W" "cluster6"
"146" "YBR172C" "cluster6"
"147" "YBR176W" "cluster1"
"148" "YBR177C" "cluster5"
"149" "YBR182C" "cluster10"
"150" "YBR200W" "cluster2"
"151" "YBR201C-A" "cluster7"
"152" "YBR201W" "cluster2"
"153" "YBR202W" "cluster1"
"154" "YBR203W" "cluster7"
"155" "YBR207W" "cluster2"
"156" "YBR208C" "cluster12"
"157" "YBR218C" "cluster3"
"158" "YBR220C" "cluster3"
"159" "YBR223C" "cluster5"
"160" "YBR225W" "cluster5"
"161" "YBR227C" "cluster1"
"162" "YBR228W" "cluster2"
"163" "YBR230C" "cluster7"
"164" "YBR233W" "cluster1"
"165" "YBR239C" "cluster1"
"166" "YBR240C" "cluster7"
"167" "YBR241C" "cluster7"
"168" "YBR242W" "cluster6"
"169" "YBR243C" "cluster3"
"170" "YBR245C" "cluster6"
"171" "YBR246W" "cluster1"
"172" "YBR247C" "cluster4"
"173" "YBR249C" "cluster4"
"174" "YBR252W" "cluster4"
"175" "YBR255W" "cluster2"
"176" "YBR256C" "cluster5"
"177" "YBR258C" "cluster2"
"178" "YBR259W" "cluster1"
"179" "YBR267W" "cluster4"
"180" "YBR275C" "cluster1"
"181" "YBR276C" "cluster1"
"182" "YBR278W" "cluster5"
"183" "YBR281C" "cluster1"
"184" "YBR284W" "cluster7"
"185" "YBR287W" "cluster8"
"186" "YBR289W" "cluster1"
"187" "YBR293W" "cluster2"
"188" "YBR294W" "cluster8"
"189" "YBR295W" "cluster8"
"190" "YBR296C" "cluster15"
"191" "YBR297W" "cluster7"
"192" "YBR298C" "cluster7"
"193" "YCL001W" "cluster1"
"194" "YCL004W" "cluster2"
"195" "YCL005W" "cluster1"
"196" "YCL010C" "cluster2"
"197" "YCL012C" "cluster9"
"198" "YCL014W" "cluster1"
"199" "YCL016C" "cluster1"
"200" "YCL017C" "cluster2"
"201" "YCL024W" "cluster1"
"202" "YCL025C" "cluster10"
"203" "YCL026C-B" "cluster14"
"204" "YCL027W" "cluster8"
"205" "YCL028W" "cluster2"
"206" "YCL030C" "cluster12"
"207" "YCL034W" "cluster5"
"208" "YCL038C" "cluster9"
"209" "YCL040W" "cluster13"
"210" "YCL043C" "cluster8"
"211" "YCL044C" "cluster5"
"212" "YCL047C" "cluster2"
"213" "YCL048W" "cluster14"
"214" "YCL054W" "cluster4"
"215" "YCL055W" "cluster2"
"216" "YCL056C" "cluster1"
"217" "YCL057W" "cluster2"
"218" "YCL061C" "cluster1"
"219" "YCL063W" "cluster1"
"220" "YCL064C" "cluster8"
"221" "YCL074W" "cluster16"
"222" "YCL075W" "cluster16"
"223" "YCL076W" "cluster16"
"224" "YCR005C" "cluster7"
"225" "YCR007C" "cluster5"
"226" "YCR009C" "cluster2"
"227" "YCR011C" "cluster2"
"228" "YCR020C-A" "cluster3"
