"GeneID" "Cluster"
"1" "PWR1" "cluster1"
"2" "YAL003W" "cluster2"
"3" "YAL005C" "cluster3"
"4" "YAL007C" "cluster4"
"5" "YAL009W" "cluster4"
"6" "YAL014C" "cluster4"
"7" "YAL015C" "cluster4"
"8" "YAL016C-A" "cluster5"
"9" "YAL016W" "cluster4"
"10" "YAL017W" "cluster6"
"11" "YAL019W" "cluster4"
"12" "YAL020C" "cluster7"
"13" "YAL021C" "cluster4"
"14" "YAL023C" "cluster2"
"15" "YAL024C" "cluster4"
"16" "YAL025C" "cluster2"
"17" "YAL026C" "cluster7"
"18" "YAL029C" "cluster4"
"19" "YAL030W" "cluster6"
"20" "YAL033W" "cluster4"
"21" "YAL034C" "cluster6"
"22" "YAL035W" "cluster2"
"23" "YAL038W" "cluster8"
"24" "YAL039C" "cluster6"
"25" "YAL040C" "cluster7"
"26" "YAL042W" "cluster4"
"27" "YAL043C" "cluster4"
"28" "YAL044W-A" "cluster9"
"29" "YAL047C" "cluster4"
"30" "YAL049C" "cluster6"
"31" "YAL051W" "cluster4"
"32" "YAL055W" "cluster6"
"33" "YAL056W" "cluster4"
"34" "YAL059W" "cluster2"
"35" "YAL060W" "cluster6"
"36" "YAL061W" "cluster3"
"37" "YAR002C-A" "cluster2"
"38" "YAR002W" "cluster4"
"39" "YAR003W" "cluster4"
"40" "YAR007C" "cluster4"
"41" "YAR008W" "cluster4"
"42" "YAR009C" "cluster9"
"43" "YAR014C" "cluster4"
"44" "YAR015W" "cluster2"
"45" "YAR019C" "cluster4"
"46" "YAR028W" "cluster7"
"47" "YAR035W" "cluster3"
"48" "YBL002W" "cluster2"
"49" "YBL003C" "cluster8"
"50" "YBL004W" "cluster2"
"51" "YBL008W" "cluster4"
"52" "YBL009W" "cluster4"
"53" "YBL015W" "cluster3"
"54" "YBL016W" "cluster7"
"55" "YBL017C" "cluster4"
"56" "YBL018C" "cluster2"
"57" "YBL020W" "cluster4"
"58" "YBL023C" "cluster4"
"59" "YBL024W" "cluster2"
"60" "YBL026W" "cluster4"
"61" "YBL027W" "cluster2"
"62" "YBL028C" "cluster2"
"63" "YBL029C-A" "cluster6"
"64" "YBL031W" "cluster4"
"65" "YBL032W" "cluster2"
"66" "YBL039C" "cluster2"
"67" "YBL042C" "cluster8"
"68" "YBL045C" "cluster6"
"69" "YBL046W" "cluster4"
"70" "YBL050W" "cluster4"
"71" "YBL051C" "cluster4"
"72" "YBL054W" "cluster2"
"73" "YBL055C" "cluster4"
"74" "YBL057C" "cluster4"
"75" "YBL058W" "cluster4"
"76" "YBL059C-A" "cluster6"
"77" "YBL061C" "cluster4"
"78" "YBL063W" "cluster4"
"79" "YBL064C" "cluster3"
"80" "YBL067C" "cluster4"
"81" "YBL068W" "cluster2"
"82" "YBL071W-A" "cluster8"
"83" "YBL072C" "cluster2"
"84" "YBL074C" "cluster7"
"85" "YBL075C" "cluster6"
"86" "YBL076C" "cluster2"
"87" "YBL078C" "cluster3"
"88" "YBL080C" "cluster4"
"89" "YBL081W" "cluster2"
"90" "YBL082C" "cluster8"
"91" "YBL086C" "cluster6"
"92" "YBL087C" "cluster2"
"93" "YBL088C" "cluster4"
"94" "YBL092W" "cluster2"
