"GeneID" "Cluster"
"1" "LSR1" "cluster8"
"2" "PWR1" "cluster7"
"3" "RUF21" "cluster8"
"4" "SCR1" "cluster8"
"5" "SRG1" "cluster6"
"6" "YAL003W" "cluster4"
"7" "YAL005C" "cluster3"
"8" "YAL007C" "cluster1"
"9" "YAL012W" "cluster5"
"10" "YAL013W" "cluster1"
"11" "YAL014C" "cluster1"
"12" "YAL015C" "cluster1"
"13" "YAL016C-A" "cluster8"
"14" "YAL017W" "cluster3"
"15" "YAL019W" "cluster4"
"16" "YAL020C" "cluster6"
"17" "YAL023C" "cluster1"
"18" "YAL024C" "cluster1"
"19" "YAL025C" "cluster4"
"20" "YAL026C" "cluster5"
"21" "YAL029C" "cluster1"
"22" "YAL030W" "cluster3"
"23" "YAL032C" "cluster1"
"24" "YAL033W" "cluster1"
"25" "YAL034C" "cluster3"
"26" "YAL034W-A" "cluster1"
"27" "YAL035W" "cluster4"
"28" "YAL037W" "cluster6"
"29" "YAL038W" "cluster7"
"30" "YAL039C" "cluster2"
"31" "YAL040C" "cluster5"
"32" "YAL042W" "cluster1"
"33" "YAL043C" "cluster1"
"34" "YAL044W-A" "cluster8"
"35" "YAL047C" "cluster1"
"36" "YAL049C" "cluster2"
"37" "YAL051W" "cluster1"
"38" "YAL054C" "cluster3"
"39" "YAL055W" "cluster2"
"40" "YAL058W" "cluster5"
"41" "YAL059W" "cluster9"
"42" "YAL060W" "cluster3"
"43" "YAL061W" "cluster10"
"44" "YAL062W" "cluster3"
"45" "YAR002W" "cluster1"
"46" "YAR007C" "cluster1"
"47" "YAR009C" "cluster8"
"48" "YAR015W" "cluster5"
"49" "YAR029W" "cluster3"
"50" "YAR035W" "cluster10"
"51" "YBL002W" "cluster5"
"52" "YBL003C" "cluster5"
"53" "YBL004W" "cluster4"
"54" "YBL005W" "cluster1"
"55" "YBL005W-B" "cluster8"
"56" "YBL006C" "cluster1"
"57" "YBL008W" "cluster1"
"58" "YBL009W" "cluster1"
"59" "YBL013W" "cluster7"
"60" "YBL015W" "cluster3"
"61" "YBL016W" "cluster1"
"62" "YBL017C" "cluster1"
"63" "YBL018C" "cluster5"
"64" "YBL019W" "cluster2"
"65" "YBL021C" "cluster1"
"66" "YBL023C" "cluster1"
"67" "YBL024W" "cluster4"
"68" "YBL026W" "cluster1"
"69" "YBL027W" "cluster9"
"70" "YBL028C" "cluster4"
"71" "YBL029C-A" "cluster3"
"72" "YBL029W" "cluster2"
"73" "YBL031W" "cluster1"
"74" "YBL032W" "cluster1"
"75" "YBL033C" "cluster2"
"76" "YBL034C" "cluster1"
"77" "YBL037W" "cluster1"
"78" "YBL039C" "cluster4"
"79" "YBL041W" "cluster1"
"80" "YBL042C" "cluster5"
"81" "YBL045C" "cluster3"
"82" "YBL046W" "cluster1"
"83" "YBL049W" "cluster10"
"84" "YBL050W" "cluster2"
"85" "YBL051C" "cluster1"
"86" "YBL055C" "cluster1"
"87" "YBL057C" "cluster1"
"88" "YBL058W" "cluster2"
"89" "YBL059C-A" "cluster2"
"90" "YBL060W" "cluster1"
"91" "YBL061C" "cluster1"
"92" "YBL063W" "cluster1"
"93" "YBL064C" "cluster3"
"94" "YBL066C" "cluster2"
"95" "YBL067C" "cluster1"
"96" "YBL068W" "cluster4"
"97" "YBL070C" "cluster8"
"98" "YBL072C" "cluster9"
"99" "YBL074C" "cluster1"
"100" "YBL075C" "cluster3"
"101" "YBL076C" "cluster4"
"102" "YBL078C" "cluster3"
"103" "YBL080C" "cluster2"
"104" "YBL081W" "cluster4"
"105" "YBL082C" "cluster5"
"106" "YBL085W" "cluster1"
"107" "YBL086C" "cluster3"
"108" "YBL087C" "cluster9"
"109" "YBL088C" "cluster1"
"110" "YBL091C-A" "cluster2"
"111" "YBL092W" "cluster9"
"112" "YBL100W-B" "cluster7"
"113" "YBL102W" "cluster2"
"114" "YBL105C" "cluster1"
"115" "YBR001C" "cluster2"
"116" "YBR004C" "cluster1"
"117" "YBR005W" "cluster3"
"118" "YBR009C" "cluster5"
"119" "YBR010W" "cluster5"
"120" "YBR015C" "cluster1"
"121" "YBR018C" "cluster3"
"122" "YBR019C" "cluster3"
"123" "YBR021W" "cluster5"
"124" "YBR023C" "cluster1"
"125" "YBR031W" "cluster9"
"126" "YBR033W" "cluster6"
"127" "YBR034C" "cluster4"
"128" "YBR036C" "cluster1"
"129" "YBR037C" "cluster2"
"130" "YBR038W" "cluster5"
"131" "YBR040W" "cluster8"
"132" "YBR043C" "cluster1"
"133" "YBR044C" "cluster1"
"134" "YBR047W" "cluster3"
"135" "YBR048W" "cluster9"
"136" "YBR049C" "cluster1"
"137" "YBR051W" "cluster8"
"138" "YBR052C" "cluster3"
"139" "YBR053C" "cluster3"
"140" "YBR054W" "cluster10"
"141" "YBR055C" "cluster1"
"142" "YBR056W" "cluster3"
"143" "YBR056W-A" "cluster8"
"144" "YBR057C" "cluster1"
"145" "YBR059C" "cluster2"
"146" "YBR061C" "cluster4"
"147" "YBR065C" "cluster6"
"148" "YBR066C" "cluster5"
"149" "YBR069C" "cluster5"
"150" "YBR070C" "cluster1"
"151" "YBR071W" "cluster6"
"152" "YBR072W" "cluster10"
"153" "YBR074W" "cluster1"
"154" "YBR078W" "cluster5"
"155" "YBR079C" "cluster4"
"156" "YBR080C" "cluster1"
"157" "YBR082C" "cluster1"
"158" "YBR083W" "cluster1"
"159" "YBR084C-A" "cluster9"
"160" "YBR084W" "cluster4"
"161" "YBR085C-A" "cluster10"
"162" "YBR087W" "cluster1"
"163" "YBR088C" "cluster5"
"164" "YBR089W" "cluster8"
"165" "YBR091C" "cluster1"
"166" "YBR092C" "cluster5"
"167" "YBR093C" "cluster7"
"168" "YBR095C" "cluster1"
"169" "YBR096W" "cluster1"
"170" "YBR097W" "cluster2"
"171" "YBR098W" "cluster2"
"172" "YBR099C" "cluster7"
"173" "YBR103W" "cluster1"
"174" "YBR104W" "cluster4"
"175" "YBR105C" "cluster3"
"176" "YBR106W" "cluster4"
"177" "YBR108W" "cluster2"
"178" "YBR111W-A" "cluster2"
"179" "YBR114W" "cluster6"
"180" "YBR115C" "cluster5"
"181" "YBR117C" "cluster10"
"182" "YBR118W" "cluster9"
"183" "YBR119W" "cluster2"
"184" "YBR121C" "cluster4"
"185" "YBR125C" "cluster1"
"186" "YBR126C" "cluster3"
"187" "YBR128C" "cluster2"
"188" "YBR130C" "cluster1"
"189" "YBR131W" "cluster1"
"190" "YBR133C" "cluster1"
"191" "YBR135W" "cluster1"
"192" "YBR136W" "cluster2"
"193" "YBR138C" "cluster2"
"194" "YBR140C" "cluster2"
"195" "YBR142W" "cluster4"
"196" "YBR143C" "cluster4"
"197" "YBR145W" "cluster7"
"198" "YBR148W" "cluster3"
"199" "YBR153W" "cluster1"
"200" "YBR154C" "cluster4"
"201" "YBR155W" "cluster4"
"202" "YBR156C" "cluster1"
"203" "YBR158W" "cluster5"
"204" "YBR159W" "cluster1"
"205" "YBR160W" "cluster1"
"206" "YBR161W" "cluster1"
"207" "YBR162C" "cluster5"
"208" "YBR162W-A" "cluster1"
"209" "YBR163W" "cluster1"
"210" "YBR164C" "cluster1"
"211" "YBR165W" "cluster1"
"212" "YBR166C" "cluster1"
"213" "YBR169C" "cluster3"
"214" "YBR170C" "cluster1"
"215" "YBR173C" "cluster2"
"216" "YBR177C" "cluster6"
"217" "YBR181C" "cluster9"
"218" "YBR182C" "cluster7"
"219" "YBR182C-A" "cluster7"
