"GeneID" "Cluster"
"1" "SRG1" "cluster1"
"2" "YAL003W" "cluster2"
"3" "YAL005C" "cluster3"
"4" "YAL007C" "cluster4"
"5" "YAL008W" "cluster1"
"6" "YAL015C" "cluster5"
"7" "YAL017W" "cluster1"
"8" "YAL020C" "cluster6"
"9" "YAL021C" "cluster6"
"10" "YAL022C" "cluster5"
"11" "YAL023C" "cluster6"
"12" "YAL024C" "cluster5"
"13" "YAL025C" "cluster4"
"14" "YAL029C" "cluster4"
"15" "YAL030W" "cluster1"
"16" "YAL031C" "cluster1"
"17" "YAL034W-A" "cluster5"
"18" "YAL035W" "cluster4"
"19" "YAL039C" "cluster1"
"20" "YAL040C" "cluster6"
"21" "YAL042W" "cluster4"
"22" "YAL044C" "cluster6"
"23" "YAL044W-A" "cluster7"
"24" "YAL049C" "cluster1"
"25" "YAL051W" "cluster5"
"26" "YAL053W" "cluster5"
"27" "YAL055W" "cluster1"
"28" "YAL059W" "cluster2"
"29" "YAL060W" "cluster1"
"30" "YAL061W" "cluster3"
"31" "YAR002C-A" "cluster6"
"32" "YAR002W" "cluster5"
"33" "YAR007C" "cluster5"
"34" "YAR008W" "cluster5"
"35" "YAR009C" "cluster7"
"36" "YAR014C" "cluster5"
"37" "YAR015W" "cluster6"
"38" "YAR028W" "cluster6"
"39" "YAR035W" "cluster3"
"40" "YAR050W" "cluster3"
"41" "YBL002W" "cluster6"
"42" "YBL003C" "cluster6"
"43" "YBL004W" "cluster4"
"44" "YBL008W" "cluster5"
"45" "YBL009W" "cluster5"
"46" "YBL010C" "cluster5"
"47" "YBL013W" "cluster3"
"48" "YBL015W" "cluster3"
"49" "YBL016W" "cluster6"
"50" "YBL017C" "cluster5"
"51" "YBL018C" "cluster6"
"52" "YBL022C" "cluster5"
"53" "YBL024W" "cluster4"
"54" "YBL026W" "cluster6"
"55" "YBL027W" "cluster2"
"56" "YBL028C" "cluster4"
"57" "YBL031W" "cluster5"
"58" "YBL032W" "cluster6"
"59" "YBL035C" "cluster5"
"60" "YBL036C" "cluster5"
"61" "YBL038W" "cluster5"
"62" "YBL039C" "cluster2"
"63" "YBL041W" "cluster5"
"64" "YBL042C" "cluster6"
"65" "YBL046W" "cluster5"
"66" "YBL051C" "cluster5"
"67" "YBL054W" "cluster4"
"68" "YBL055C" "cluster4"
"69" "YBL058W" "cluster5"
"70" "YBL061C" "cluster5"
"71" "YBL063W" "cluster5"
"72" "YBL064C" "cluster3"
"73" "YBL067C" "cluster5"
"74" "YBL068W" "cluster4"
"75" "YBL071W-A" "cluster6"
"76" "YBL072C" "cluster2"
"77" "YBL074C" "cluster5"
"78" "YBL075C" "cluster1"
"79" "YBL076C" "cluster2"
"80" "YBL080C" "cluster5"
"81" "YBL081W" "cluster4"
"82" "YBL082C" "cluster8"
"83" "YBL086C" "cluster1"
"84" "YBL087C" "cluster2"
"85" "YBL088C" "cluster5"
"86" "YBL091C" "cluster6"
"87" "YBL091C-A" "cluster5"
"88" "YBL092W" "cluster2"
"89" "YBL093C" "cluster5"
"90" "YBL097W" "cluster5"
"91" "YBL098W" "cluster6"
"92" "YBL102W" "cluster5"
"93" "YBL106C" "cluster5"
"94" "YBR001C" "cluster1"
"95" "YBR002C" "cluster4"
"96" "YBR004C" "cluster5"
"97" "YBR005W" "cluster1"
"98" "YBR007C" "cluster5"
"99" "YBR009C" "cluster6"
"100" "YBR010W" "cluster6"
"101" "YBR014C" "cluster5"
"102" "YBR016W" "cluster1"
"103" "YBR018C" "cluster3"
"104" "YBR021W" "cluster6"
"105" "YBR023C" "cluster5"
"106" "YBR024W" "cluster1"
"107" "YBR026C" "cluster1"
"108" "YBR031W" "cluster2"
"109" "YBR033W" "cluster1"
"110" "YBR034C" "cluster4"
"111" "YBR035C" "cluster5"
"112" "YBR037C" "cluster1"
"113" "YBR038W" "cluster6"
"114" "YBR040W" "cluster7"
"115" "YBR046C" "cluster3"
"116" "YBR047W" "cluster3"
"117" "YBR048W" "cluster2"
"118" "YBR049C" "cluster5"
"119" "YBR052C" "cluster1"
"120" "YBR056W-A" "cluster9"
"121" "YBR057C" "cluster5"
"122" "YBR060C" "cluster5"
"123" "YBR061C" "cluster4"
"124" "YBR062C" "cluster1"
"125" "YBR066C" "cluster6"
"126" "YBR067C" "cluster9"
"127" "YBR070C" "cluster5"
"128" "YBR071W" "cluster1"
"129" "YBR072W" "cluster9"
"130" "YBR074W" "cluster5"
"131" "YBR079C" "cluster4"
"132" "YBR081C" "cluster5"
"133" "YBR082C" "cluster5"
"134" "YBR083W" "cluster5"
"135" "YBR084C-A" "cluster2"
"136" "YBR084W" "cluster2"
"137" "YBR085C-A" "cluster3"
"138" "YBR088C" "cluster6"
"139" "YBR089C-A" "cluster1"
"140" "YBR089W" "cluster7"
"141" "YBR092C" "cluster8"
"142" "YBR095C" "cluster5"
"143" "YBR096W" "cluster5"
"144" "YBR098W" "cluster5"
"145" "YBR103W" "cluster5"
"146" "YBR104W" "cluster4"
"147" "YBR108W" "cluster1"
"148" "YBR111W-A" "cluster5"
"149" "YBR112C" "cluster5"
"150" "YBR117C" "cluster3"
"151" "YBR118W" "cluster6"
"152" "YBR121C" "cluster4"
"153" "YBR123C" "cluster5"
"154" "YBR126C" "cluster3"
"155" "YBR128C" "cluster1"
"156" "YBR129C" "cluster5"
"157" "YBR132C" "cluster3"
"158" "YBR135W" "cluster5"
"159" "YBR137W" "cluster1"
"160" "YBR138C" "cluster5"
"161" "YBR139W" "cluster1"
"162" "YBR142W" "cluster4"
"163" "YBR143C" "cluster4"
"164" "YBR145W" "cluster3"
"165" "YBR147W" "cluster3"
"166" "YBR148W" "cluster3"
"167" "YBR149W" "cluster1"
"168" "YBR153W" "cluster5"
"169" "YBR154C" "cluster4"
"170" "YBR155W" "cluster4"
"171" "YBR156C" "cluster5"
"172" "YBR157C" "cluster3"
"173" "YBR158W" "cluster6"
"174" "YBR161W" "cluster5"
"175" "YBR162C" "cluster2"
"176" "YBR165W" "cluster5"
"177" "YBR166C" "cluster5"
"178" "YBR170C" "cluster5"
"179" "YBR172C" "cluster4"
"180" "YBR173C" "cluster5"
"181" "YBR176W" "cluster5"
"182" "YBR177C" "cluster1"
"183" "YBR179C" "cluster5"
"184" "YBR181C" "cluster2"
"185" "YBR182C" "cluster3"
"186" "YBR186W" "cluster5"
"187" "YBR187W" "cluster4"
"188" "YBR189W" "cluster2"
"189" "YBR191W" "cluster2"
"190" "YBR193C" "cluster5"
"191" "YBR194W" "cluster5"
"192" "YBR196C" "cluster6"
"193" "YBR199W" "cluster5"
"194" "YBR201W" "cluster5"
"195" "YBR202W" "cluster5"
"196" "YBR203W" "cluster3"
"197" "YBR204C" "cluster1"
"198" "YBR208C" "cluster8"
"199" "YBR212W" "cluster1"
"200" "YBR214W" "cluster3"
"201" "YBR218C" "cluster6"
"202" "YBR223C" "cluster1"
"203" "YBR225W" "cluster1"
"204" "YBR227C" "cluster5"
"205" "YBR228W" "cluster5"
"206" "YBR229C" "cluster5"
"207" "YBR230C" "cluster3"
"208" "YBR230W-A" "cluster3"
"209" "YBR231C" "cluster5"
"210" "YBR233W" "cluster5"
"211" "YBR235W" "cluster5"
"212" "YBR238C" "cluster8"
