"GeneID" "Cluster" "Name"
"1" "HRA1" "insignificant" NA
"2" "ICR1" "insignificant" NA
"3" "LSR1" "insignificant" NA
"4" "PWR1" "insignificant" NA
"5" "RDN5-1" "insignificant" NA
"6" "RNA170" "insignificant" NA
"7" "RPR1" "insignificant" NA
"8" "RUF20" "insignificant" NA
"9" "RUF21" "insignificant" NA
"10" "RUF22" "insignificant" NA
"11" "RUF23" "insignificant" NA
"12" "RUF5-2" "insignificant" NA
"13" "SCR1" "insignificant" NA
"14" "SRG1" "cluster3" NA
"15" "YAL001C" "insignificant" "TFC3"
"16" "YAL002W" "insignificant" "VPS8"
"17" "YAL003W" "cluster7" "EFB1"
"18" "YAL004W" "insignificant" ""
"19" "YAL005C" "cluster8" "SSA1"
"20" "YAL007C" "cluster5" "ERP2"
"21" "YAL008W" "cluster3" "FUN14"
"22" "YAL009W" "insignificant" "SPO7"
"23" "YAL010C" "insignificant" "MDM10"
"24" "YAL011W" "insignificant" "SWC3"
"25" "YAL012W" "insignificant" "CYS3"
"26" "YAL013W" "insignificant" "DEP1"
"27" "YAL014C" "insignificant" "SYN8"
"28" "YAL015C" "cluster2" "NTG1"
"29" "YAL016C-A" "insignificant" ""
"30" "YAL016W" "insignificant" "TPD3"
"31" "YAL017W" "cluster3" "PSK1"
"32" "YAL018C" "insignificant" "LDS1"
"33" "YAL019W" "insignificant" "FUN30"
"34" "YAL019W-A" "insignificant" ""
"35" "YAL020C" "cluster4" "ATS1"
"36" "YAL021C" "cluster4" "CCR4"
"37" "YAL022C" "cluster1" "FUN26"
"38" "YAL023C" "cluster4" "PMT2"
"39" "YAL024C" "cluster1" "LTE1"
"40" "YAL025C" "cluster6" "MAK16"
"41" "YAL026C" "insignificant" "DRS2"
"42" "YAL026C-A" "insignificant" ""
"43" "YAL027W" "insignificant" "SAW1"
"44" "YAL028W" "insignificant" "FRT2"
"45" "YAL029C" "cluster5" "MYO4"
"46" "YAL030W" "cluster3" "SNC1"
"47" "YAL031C" "cluster3" "GIP4"
"48" "YAL031W-A" "insignificant" ""
"49" "YAL032C" "insignificant" "PRP45"
"50" "YAL033W" "insignificant" "POP5"
"51" "YAL034C" "insignificant" "FUN19"
"52" "YAL034C-B" "insignificant" ""
"53" "YAL034W-A" "cluster2" "MTW1"
"54" "YAL035W" "cluster5" "FUN12"
"55" "YAL036C" "insignificant" "RBG1"
"56" "YAL037C-A" "insignificant" ""
"57" "YAL037C-B" "insignificant" ""
"58" "YAL037W" "insignificant" ""
"59" "YAL038W" "insignificant" "CDC19"
"60" "YAL039C" "cluster3" "CYC3"
"61" "YAL040C" "cluster4" "CLN3"
"62" "YAL041W" "insignificant" "CDC24"
"63" "YAL042C-A" "insignificant" ""
"64" "YAL042W" "cluster5" "ERV46"
"65" "YAL043C" "insignificant" "PTA1"
"66" "YAL044C" "cluster4" "GCV3"
"67" "YAL044W-A" "cluster12" "BOL1"
"68" "YAL045C" "insignificant" ""
"69" "YAL046C" "insignificant" "BOL3"
"70" "YAL047C" "insignificant" "SPC72"
"71" "YAL047W-A" "insignificant" ""
"72" "YAL048C" "insignificant" "GEM1"
"73" "YAL049C" "cluster3" "AIM2"
"74" "YAL051W" "cluster2" "OAF1"
"75" "YAL053W" "cluster2" "FLC2"
"76" "YAL054C" "insignificant" "ACS1"
"77" "YAL055W" "cluster3" "PEX22"
"78" "YAL056C-A" "insignificant" ""
"79" "YAL056W" "insignificant" "GPB2"
"80" "YAL058W" "insignificant" "CNE1"
"81" "YAL059C-A" "insignificant" ""
"82" "YAL059W" "cluster7" "ECM1"
"83" "YAL060W" "cluster3" "BDH1"
"84" "YAL061W" "cluster8" "BDH2"
"85" "YAL062W" "insignificant" "GDH3"
"86" "YAL063C" "insignificant" "FLO9"
"87" "YAL063C-A" "insignificant" ""
"88" "YAL064C-A" "insignificant" "TDA8"
"89" "YAL064W" "insignificant" ""
"90" "YAL064W-B" "insignificant" ""
"91" "YAL065C" "insignificant" ""
"92" "YAL066W" "insignificant" ""
"93" "YAL067C" "insignificant" "SEO1"
"94" "YAL067W-A" "insignificant" ""
"95" "YAL068C" "insignificant" "PAU8"
"96" "YAL069W" "insignificant" ""
"97" "YAR002C-A" "cluster4" "ERP1"
"98" "YAR002W" "cluster1" "NUP60"
"99" "YAR003W" "insignificant" "SWD1"
"100" "YAR007C" "cluster1" "RFA1"
"101" "YAR008W" "cluster1" "SEN34"
"102" "YAR009C" "cluster12" NA
"103" "YAR010C" "insignificant" NA
"104" "YAR014C" "cluster1" "BUD14"
"105" "YAR015W" "cluster4" "ADE1"
"106" "YAR018C" "insignificant" "KIN3"
"107" "YAR019C" "insignificant" "CDC15"
"108" "YAR019W-A" "insignificant" ""
"109" "YAR020C" "insignificant" "PAU7"
"110" "YAR023C" "insignificant" ""
"111" "YAR027W" "insignificant" "UIP3"
"112" "YAR028W" "cluster4" ""
"113" "YAR029W" "insignificant" ""
"114" "YAR030C" "insignificant" ""
"115" "YAR031W" "insignificant" "PRM9"
"116" "YAR033W" "insignificant" "MST28"
"117" "YAR035C-A" "insignificant" ""
"118" "YAR035W" "cluster8" "YAT1"
"119" "YAR042W" "insignificant" "SWH1"
"120" "YAR050W" "cluster9" "FLO1"
"121" "YAR053W" "insignificant" ""
"122" "YAR061W" "insignificant" NA
"123" "YAR064W" "insignificant" ""
"124" "YAR066W" "insignificant" ""
