"GeneID" "Cluster"
"1" "YAL003W" "cluster1"
"2" "YAL005C" "cluster2"
"3" "YAL007C" "cluster3"
"4" "YAL008W" "cluster4"
"5" "YAL015C" "cluster5"
"6" "YAL017W" "cluster4"
"7" "YAL020C" "cluster6"
"8" "YAL021C" "cluster3"
"9" "YAL022C" "cluster3"
"10" "YAL023C" "cluster3"
"11" "YAL024C" "cluster3"
"12" "YAL025C" "cluster1"
"13" "YAL029C" "cluster3"
"14" "YAL030W" "cluster4"
"15" "YAL031C" "cluster4"
"16" "YAL034W-A" "cluster3"
"17" "YAL035W" "cluster1"
"18" "YAL037W" "cluster4"
"19" "YAL039C" "cluster5"
"20" "YAL040C" "cluster6"
"21" "YAL042W" "cluster3"
"22" "YAL043C" "cluster3"
"23" "YAL044W-A" "cluster7"
"24" "YAL047C" "cluster3"
"25" "YAL051W" "cluster5"
"26" "YAL053W" "cluster3"
"27" "YAL058W" "cluster3"
"28" "YAL059W" "cluster1"
"29" "YAL060W" "cluster4"
"30" "YAL061W" "cluster8"
"31" "YAR002W" "cluster3"
"32" "YAR007C" "cluster3"
"33" "YAR008W" "cluster3"
"34" "YAR009C" "cluster9"
"35" "YAR014C" "cluster3"
"36" "YAR015W" "cluster6"
"37" "YAR019C" "cluster5"
"38" "YAR019W-A" "cluster8"
"39" "YAR028W" "cluster6"
"40" "YAR035W" "cluster8"
"41" "YAR050W" "cluster2"
"42" "YAR071W" "cluster9"
"43" "YBL002W" "cluster6"
"44" "YBL003C" "cluster6"
"45" "YBL004W" "cluster1"
"46" "YBL005W" "cluster3"
"47" "YBL009W" "cluster3"
"48" "YBL015W" "cluster2"
"49" "YBL016W" "cluster3"
"50" "YBL017C" "cluster3"
"51" "YBL018C" "cluster6"
"52" "YBL022C" "cluster5"
"53" "YBL024W" "cluster1"
"54" "YBL026W" "cluster3"
"55" "YBL027W" "cluster1"
"56" "YBL028C" "cluster1"
"57" "YBL031W" "cluster3"
"58" "YBL032W" "cluster3"
"59" "YBL034C" "cluster3"
"60" "YBL035C" "cluster3"
"61" "YBL036C" "cluster3"
"62" "YBL038W" "cluster5"
"63" "YBL039C" "cluster1"
"64" "YBL041W" "cluster3"
"65" "YBL042C" "cluster6"
"66" "YBL043W" "cluster8"
"67" "YBL046W" "cluster3"
"68" "YBL047C" "cluster4"
"69" "YBL051C" "cluster3"
"70" "YBL054W" "cluster1"
"71" "YBL055C" "cluster3"
"72" "YBL057C" "cluster3"
"73" "YBL058W" "cluster5"
"74" "YBL061C" "cluster3"
"75" "YBL063W" "cluster3"
"76" "YBL064C" "cluster2"
"77" "YBL067C" "cluster3"
"78" "YBL068W" "cluster1"
"79" "YBL071W-A" "cluster6"
"80" "YBL072C" "cluster1"
"81" "YBL075C" "cluster2"
"82" "YBL076C" "cluster1"
"83" "YBL080C" "cluster5"
"84" "YBL081W" "cluster1"
"85" "YBL082C" "cluster6"
"86" "YBL086C" "cluster4"
"87" "YBL087C" "cluster1"
"88" "YBL088C" "cluster5"
"89" "YBL091C-A" "cluster5"
"90" "YBL092W" "cluster1"
"91" "YBL093C" "cluster3"
"92" "YBL097W" "cluster3"
"93" "YBL098W" "cluster4"
"94" "YBL099W" "cluster4"
"95" "YBL102W" "cluster5"
"96" "YBL106C" "cluster4"
"97" "YBR001C" "cluster5"
"98" "YBR002C" "cluster3"
"99" "YBR004C" "cluster3"
"100" "YBR005W" "cluster4"
"101" "YBR006W" "cluster4"
"102" "YBR007C" "cluster3"
"103" "YBR009C" "cluster6"
"104" "YBR010W" "cluster6"
"105" "YBR014C" "cluster5"
"106" "YBR015C" "cluster3"
"107" "YBR016W" "cluster5"
"108" "YBR018C" "cluster8"
"109" "YBR021W" "cluster6"
"110" "YBR023C" "cluster3"
"111" "YBR026C" "cluster4"
"112" "YBR030W" "cluster1"
"113" "YBR031W" "cluster1"
"114" "YBR033W" "cluster5"
"115" "YBR034C" "cluster1"
"116" "YBR035C" "cluster5"
"117" "YBR037C" "cluster4"
"118" "YBR038W" "cluster3"
"119" "YBR040W" "cluster7"
"120" "YBR041W" "cluster3"
"121" "YBR044C" "cluster3"
"122" "YBR048W" "cluster1"
"123" "YBR049C" "cluster3"
"124" "YBR052C" "cluster4"
"125" "YBR055C" "cluster3"
"126" "YBR056W-A" "cluster7"
"127" "YBR057C" "cluster3"
"128" "YBR060C" "cluster3"
"129" "YBR061C" "cluster1"
"130" "YBR062C" "cluster5"
"131" "YBR065C" "cluster4"
"132" "YBR066C" "cluster4"
"133" "YBR067C" "cluster8"
"134" "YBR070C" "cluster3"
"135" "YBR071W" "cluster4"
"136" "YBR072W" "cluster8"
"137" "YBR073W" "cluster3"
"138" "YBR079C" "cluster1"
"139" "YBR081C" "cluster3"
"140" "YBR082C" "cluster3"
"141" "YBR083W" "cluster4"
"142" "YBR084C-A" "cluster1"
"143" "YBR084W" "cluster1"
"144" "YBR085C-A" "cluster8"
"145" "YBR088C" "cluster6"
"146" "YBR089W" "cluster7"
"147" "YBR095C" "cluster3"
"148" "YBR096W" "cluster3"
"149" "YBR098W" "cluster4"
"150" "YBR103W" "cluster3"
"151" "YBR104W" "cluster1"
"152" "YBR111W-A" "cluster3"
"153" "YBR112C" "cluster3"
"154" "YBR114W" "cluster4"
"155" "YBR117C" "cluster8"
"156" "YBR118W" "cluster1"
"157" "YBR121C" "cluster1"
"158" "YBR123C" "cluster3"
"159" "YBR125C" "cluster3"
"160" "YBR126C" "cluster2"
"161" "YBR128C" "cluster4"
"162" "YBR129C" "cluster3"
"163" "YBR132C" "cluster2"
"164" "YBR135W" "cluster3"
"165" "YBR137W" "cluster4"
"166" "YBR138C" "cluster5"
"167" "YBR139W" "cluster4"
"168" "YBR142W" "cluster1"
"169" "YBR143C" "cluster1"
"170" "YBR145W" "cluster2"
"171" "YBR149W" "cluster4"
"172" "YBR153W" "cluster3"
"173" "YBR154C" "cluster1"
"174" "YBR155W" "cluster1"
"175" "YBR156C" "cluster3"
"176" "YBR158W" "cluster3"
"177" "YBR161W" "cluster5"
"178" "YBR162C" "cluster6"
"179" "YBR166C" "cluster3"
"180" "YBR170C" "cluster3"
"181" "YBR172C" "cluster3"
