"GeneID" "Cluster"
"1" "YAL003W" "cluster10"
"2" "YAL005C" "cluster4"
"3" "YAL007C" "cluster1"
"4" "YAL008W" "cluster6"
"5" "YAL015C" "cluster2"
"6" "YAL017W" "cluster6"
"7" "YAL020C" "cluster5"
"8" "YAL021C" "cluster1"
"9" "YAL022C" "cluster1"
"10" "YAL023C" "cluster1"
"11" "YAL024C" "cluster1"
"12" "YAL025C" "cluster9"
"13" "YAL029C" "cluster1"
"14" "YAL030W" "cluster6"
"15" "YAL031C" "cluster6"
"16" "YAL034W-A" "cluster1"
"17" "YAL035W" "cluster8"
"18" "YAL037W" "cluster7"
"19" "YAL039C" "cluster2"
"20" "YAL040C" "cluster5"
"21" "YAL042W" "cluster1"
"22" "YAL043C" "cluster3"
"23" "YAL044W-A" "cluster12"
"24" "YAL047C" "cluster3"
"25" "YAL051W" "cluster2"
"26" "YAL053W" "cluster3"
"27" "YAL058W" "cluster1"
"28" "YAL059W" "cluster10"
"29" "YAL060W" "cluster6"
"30" "YAL061W" "cluster11"
"31" "YAR002W" "cluster1"
"32" "YAR007C" "cluster3"
"33" "YAR008W" "cluster1"
"34" "YAR009C" "cluster13"
"35" "YAR014C" "cluster1"
"36" "YAR015W" "cluster5"
"37" "YAR019C" "cluster2"
"38" "YAR019W-A" "cluster11"
"39" "YAR028W" "cluster5"
"40" "YAR035W" "cluster11"
"41" "YAR050W" "cluster4"
"42" "YAR071W" "cluster13"
"43" "YBL002W" "cluster5"
"44" "YBL003C" "cluster5"
"45" "YBL004W" "cluster9"
"46" "YBL005W" "cluster3"
"47" "YBL009W" "cluster1"
"48" "YBL015W" "cluster4"
"49" "YBL016W" "cluster1"
"50" "YBL017C" "cluster3"
"51" "YBL018C" "cluster5"
"52" "YBL022C" "cluster2"
"53" "YBL024W" "cluster8"
"54" "YBL026W" "cluster1"
"55" "YBL027W" "cluster10"
"56" "YBL028C" "cluster9"
"57" "YBL031W" "cluster1"
"58" "YBL032W" "cluster1"
"59" "YBL034C" "cluster1"
"60" "YBL035C" "cluster1"
"61" "YBL036C" "cluster1"
"62" "YBL038W" "cluster2"
"63" "YBL039C" "cluster10"
"64" "YBL041W" "cluster3"
"65" "YBL042C" "cluster5"
"66" "YBL043W" "cluster11"
"67" "YBL046W" "cluster3"
"68" "YBL047C" "cluster6"
"69" "YBL051C" "cluster1"
"70" "YBL054W" "cluster10"
"71" "YBL055C" "cluster1"
"72" "YBL057C" "cluster1"
"73" "YBL058W" "cluster2"
"74" "YBL061C" "cluster1"
"75" "YBL063W" "cluster1"
"76" "YBL064C" "cluster4"
"77" "YBL067C" "cluster1"
"78" "YBL068W" "cluster8"
"79" "YBL071W-A" "cluster5"
"80" "YBL072C" "cluster10"
"81" "YBL075C" "cluster4"
"82" "YBL076C" "cluster9"
"83" "YBL080C" "cluster2"
"84" "YBL081W" "cluster9"
"85" "YBL082C" "cluster5"
"86" "YBL086C" "cluster6"
"87" "YBL087C" "cluster10"
"88" "YBL088C" "cluster2"
"89" "YBL091C-A" "cluster2"
"90" "YBL092W" "cluster10"
"91" "YBL093C" "cluster1"
"92" "YBL097W" "cluster1"
"93" "YBL098W" "cluster7"
"94" "YBL099W" "cluster7"
"95" "YBL102W" "cluster2"
"96" "YBL106C" "cluster7"
"97" "YBR001C" "cluster2"
"98" "YBR002C" "cluster1"
"99" "YBR004C" "cluster1"
"100" "YBR005W" "cluster7"
"101" "YBR006W" "cluster6"
"102" "YBR007C" "cluster3"
"103" "YBR009C" "cluster5"
"104" "YBR010W" "cluster5"
"105" "YBR014C" "cluster2"
"106" "YBR015C" "cluster1"
"107" "YBR016W" "cluster2"
"108" "YBR018C" "cluster11"
"109" "YBR021W" "cluster5"
"110" "YBR023C" "cluster1"
"111" "YBR026C" "cluster6"
"112" "YBR030W" "cluster8"
"113" "YBR031W" "cluster10"
"114" "YBR033W" "cluster2"
"115" "YBR034C" "cluster9"
"116" "YBR035C" "cluster2"
"117" "YBR037C" "cluster6"
"118" "YBR038W" "cluster1"
"119" "YBR040W" "cluster12"
"120" "YBR041W" "cluster1"
"121" "YBR044C" "cluster3"
"122" "YBR048W" "cluster10"
"123" "YBR049C" "cluster1"
"124" "YBR052C" "cluster6"
"125" "YBR055C" "cluster1"
"126" "YBR056W-A" "cluster12"
"127" "YBR057C" "cluster3"
"128" "YBR060C" "cluster1"
"129" "YBR061C" "cluster8"
"130" "YBR062C" "cluster2"
"131" "YBR065C" "cluster7"
"132" "YBR066C" "cluster7"
"133" "YBR067C" "cluster11"
"134" "YBR070C" "cluster3"
"135" "YBR071W" "cluster7"
"136" "YBR072W" "cluster11"
"137" "YBR073W" "cluster1"
"138" "YBR079C" "cluster8"
"139" "YBR081C" "cluster3"
"140" "YBR082C" "cluster1"
"141" "YBR083W" "cluster7"
"142" "YBR084C-A" "cluster10"
"143" "YBR084W" "cluster9"
"144" "YBR085C-A" "cluster11"
"145" "YBR088C" "cluster5"
"146" "YBR089W" "cluster12"
"147" "YBR095C" "cluster3"
"148" "YBR096W" "cluster3"
"149" "YBR098W" "cluster7"
"150" "YBR103W" "cluster3"
"151" "YBR104W" "cluster8"
"152" "YBR111W-A" "cluster3"
"153" "YBR112C" "cluster1"
"154" "YBR114W" "cluster7"
"155" "YBR117C" "cluster11"
"156" "YBR118W" "cluster10"
"157" "YBR121C" "cluster8"
"158" "YBR123C" "cluster3"
"159" "YBR125C" "cluster3"
"160" "YBR126C" "cluster4"
"161" "YBR128C" "cluster6"
"162" "YBR129C" "cluster3"
"163" "YBR132C" "cluster4"
"164" "YBR135W" "cluster1"
"165" "YBR137W" "cluster6"
"166" "YBR138C" "cluster2"
"167" "YBR139W" "cluster6"
"168" "YBR142W" "cluster9"
"169" "YBR143C" "cluster8"
"170" "YBR145W" "cluster4"
"171" "YBR149W" "cluster6"
"172" "YBR153W" "cluster3"
"173" "YBR154C" "cluster8"
"174" "YBR155W" "cluster9"
"175" "YBR156C" "cluster3"
"176" "YBR158W" "cluster1"
"177" "YBR161W" "cluster2"
"178" "YBR162C" "cluster5"
"179" "YBR166C" "cluster1"
"180" "YBR170C" "cluster3"
"181" "YBR172C" "cluster1"
"182" "YBR173C" "cluster2"
"183" "YBR176W" "cluster3"
"184" "YBR177C" "cluster7"
"185" "YBR181C" "cluster10"
"186" "YBR182C" "cluster4"
"187" "YBR183W" "cluster4"
"188" "YBR185C" "cluster2"
"189" "YBR186W" "cluster3"
"190" "YBR187W" "cluster8"
"191" "YBR189W" "cluster10"
"192" "YBR191W" "cluster10"
"193" "YBR193C" "cluster2"
"194" "YBR194W" "cluster2"
"195" "YBR196C" "cluster5"
"196" "YBR199W" "cluster3"
