case control rep index
E1-A0_S1 INP21-A0_S16 0 0
E4-A45_S4 INP24-A45_S19 0 1
E7-A90_S7 INP27-A90_S22 0 2
E2-B0_S2 INP22-B0_S17 0 3
E5-B45_S5 INP25-B45_S20 0 4
E8-B90_S8 INP28-B90_S23 0 5
E3-C0_S3 INP23-C0_S18 0 6
E6-C45_S6 INP26-C45_S21 0 7
E9-C90_S9 INP29-C90_S24 0 8
E101-A0-CS1485_S1 INP-101-A0_S4 1 0
E104-A45-CS1485_S4 INP-104-A45_S13 1 1
E107-A90-CS1485_S16 INP-107-A90_S16 1 2
E102-B0-CS1485_S2 INP-102-B0_S11 1 3
E105-B45-CS1485_S14 INP-105-B45_S14 1 4
E108-B90-CS1485_S17 INP-108-B90_S17 1 5
E103-C0-CS1485_S3 INP-103-C0_S12 1 6
E106-C45-CS1485_S15 INP-106-C45_S15 1 7
E109-C90-CS1485_S18 INP-109-C90_S18 1 8
