case control rep index
E24-A45_S22 INP24-A45_S19 0 1
E27-A90_S22 INP27-A90_S22 0 2
E22-B0_S20 INP22-B0_S17 0 3
E25-B45_S23 INP25-B45_S20 0 4
E28-B90_S23 INP28-B90_S23 0 5
E23-C0_S21 INP23-C0_S18 0 6
E26-C45_S24 INP26-C45_S21 0 7
E29-C90_S24 INP29-C90_S24 0 8
E121-A0-ab104232_S10 INP-101-A0_S4 1 0
E124-A45-ab104232_S13 INP-104-A45_S13 1 1
E127-A90-ab104232_S1 INP-107-A90_S16 1 2
E122-B0-ab104232_S11 INP-102-B0_S11 1 3
E125-B45-ab104232_S23 INP-105-B45_S14 1 4
E128-B90-ab104232_S2 INP-108-B90_S17 1 5
E123-C0-ab104232_S12 INP-103-C0_S12 1 6
E126-C45-ab104232_S24 INP-106-C45_S15 1 7
E129-C90-ab104232_S3 INP-109-C90_S18 1 8
E19ab104232_S19 INP1_S22 2 0
E20ab104232_S20 INP2_S23 2 1
E21ab104232_S21 INP3_S24 2 2

