case control rep index
E11-A0_S10 INP21-A0_S16 0 0
E14-A45_S13 INP24-A45_S19 0 1
E17-A90_S16 INP27-A90_S22 0 2
E12-B0_S11 INP22-B0_S17 0 3
E15-B45_S14 INP25-B45_S20 0 4
E18-B90_S17 INP28-B90_S23 0 5
E13-C0_S12 INP23-C0_S18 0 6
E16-C45_S15 INP26-C45_S21 0 7
E19-C90_S18 INP29-C90_S24 0 8
E111-A0-S129_S19 INP-101-A0_S4 1 0
E114-A45-S129_S22 INP-104-A45_S13 1 1
E117-A90-S129_S7 INP-107-A90_S16 1 2
E112-B0-S129_S20 INP-102-B0_S11 1 3
E115-B45-S129_S5 INP-105-B45_S14 1 4
E118-B90-S129_S8 INP-108-B90_S17 1 5
E113-C0-S129_S21 INP-103-C0_S12 1 6
E116-C45-S129_S6 INP-106-C45_S15 1 7
E119-C90-S129_S9 INP-109-C90_S18 1 8
