case control rep index
E13-A0-ab104232_S21 INP01-A0_S1 0 0
E17-A45-ab104232_S23 INP05-A45_S11 0 1
E21-A90-ab104232_S9 INP09-A90_S15 0 2
E14-B0-ab104232_S22 INP02-B0_S2 0 3
E18-B45-ab104232_S24 INP06-B45_S12 0 4
E22-B90-ab104232_S10 INP10-B90_S16 0 5
E38-F0-ab104232_S17 INP26-F0_S22 0 6
E42-F45-ab104232_S24 INP30-F45_S24 0 7
E45-E90-ab104232_S9 INP34-F90_S10 0 8
E39-G0-ab104232_S5 INP27-G0_S5 0 9
E43-G45-ab104232_S7 INP31-G45_S7 0 10
E47-G90-ab104232_S19 INP35-G90_S19 0 11
E201-A0-ab104232_S1 INP201-A0_S21 1 0
E205-A45-ab104232_S8 INP205-A45_S23 1 1
E209-A90-ab104232_S12 INP209-A90_S9 1 2
E202-B0-ab104232_S2 INP202-B0_S22 1 3
E206-B45-ab104232_S9 INP206-B45_S24 1 4
E210-B90-ab104232_S13 INP210-B90_S10 1 5
E203-F0-ab104232_S3 INP203-F0_S5 1 6
E207-F45-ab104232_S10 INP207-F45_S7 1 7
E211-F90-ab104232_S14 INP211-F90_S19 1 8
E204-G0-ab104232_S4 INP204-G0_S6 1 9
E208-G45-ab104232_S11 INP208-G45_S8 1 10
E212-G90-ab104232_S15 INP212-G90_S20 1 11
